#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_eng+is_latn+ix_signum,#item+rem+i_eng+is_latn+ix_completum,#item+rem+i_eng+is_latn+ix_definitionem,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_ara+is_arab,#item+rem+i_hye+is_armn,#item+rem+i_ben+is_beng,#item+rem+i_rus+is_cyrl,#item+rem+i_hin+is_deva,#item+rem+i_xmf+is_geor,#item+rem+i_grc+is_grek,#item+rem+i_kan+is_knda,#item+rem+i_kor+is_hang,#item+rem+i_lzh+is_hant,#item+rem+i_heb+is_hebr,#item+rem+i_lat+is_latn,#item+rem+i_mni+is_mtei,#item+rem+i_mnw+is_mymr,#item+rem+i_nqo+is_nkoo,#item+rem+i_sat+is_olck,#item+rem+i_tam+is_taml,#item+rem+i_tel+is_telu,#item+rem+i_tha+is_thai,#item+rem+i_san+is_zyyy,#item+rem+i_zho+is_zyyy,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn,#item+rem+i_nld+is_latn,#item+rem+i_deu+is_latn,#item+rem+i_spa+is_latn,#item+rem+i_ita+is_latn,#item+rem+i_gle+is_latn,#item+rem+i_swe+is_latn,#item+rem+i_ceb+is_latn,#item+rem+i_sqi+is_latn,#item+rem+i_pol+is_latn,#item+rem+i_fin+is_latn,#item+rem+i_ron+is_latn,#item+rem+i_vie+is_latn,#item+rem+i_cat+is_latn,#item+rem+i_ukr+is_cyrl,#item+rem+i_bul+is_cyrl,#item+rem+i_slv+is_latn,#item+rem+i_war+is_latn,#item+rem+i_nob+is_latn,#item+rem+i_ces+is_latn,#item+rem+i_dan+is_latn,#item+rem+i_jpn+is_jpan,#item+rem+i_nno+is_latn,#item+rem+i_mal+is_mlym,#item+rem+i_ind+is_latn,#item+rem+i_fas+is_zyyy,#item+rem+i_hun+is_latn,#item+rem+i_eus+is_latn,#item+rem+i_cym+is_latn,#item+rem+i_glg+is_latn,#item+rem+i_slk+is_latn,#item+rem+i_epo+is_latn,#item+rem+i_msa+is_zyyy,#item+rem+i_est+is_latn,#item+rem+i_hrv+is_latn,#item+rem+i_tur+is_latn,#item+rem+i_nds+is_latn,#item+rem+i_oci+is_latn,#item+rem+i_zho+is_hans,#item+rem+i_bre+is_latn,#item+rem+i_arz+is_latn,#item+rem+i_afr+is_latn,#item+rem+i_ltz+is_latn,#item+rem+i_sco+is_latn,#item+rem+i_bar+is_latn,#item+rem+i_arg+is_latn,#item+rem+i_zho+is_hant,#item+rem+i_pap+is_latn,#item+rem+i_cos+is_latn,#item+rem+i_gsw+is_latn,#item+rem+i_isl+is_latn,#item+rem+i_min+is_latn,#item+rem+i_roh+is_latn,#item+rem+i_vec+is_latn,#item+rem+i_pms+is_latn,#item+rem+i_scn+is_latn,#item+rem+i_srd+is_latn,#item+rem+i_gla+is_latn,#item+rem+i_lim+is_latn,#item+rem+i_wln+is_latn,#item+rem+i_srp+is_latn,#item+rem+i_vls+is_latn,#item+rem+i_nap+is_latn,#item+rem+i_lij+is_latn,#item+rem+i_fur+is_latn,#item+rem+i_pcd+is_latn,#item+rem+i_wol+is_latn,#item+rem+i_kon+is_latn,#item+rem+i_frp+is_latn,#item+rem+i_wuu+is_zyyy,#item+rem+i_srp+is_cyrl,#item+rem+i_urd+is_arab,#item+rem+i_gan+is_zyyy,#item+rem+i_lit+is_latn,#item+rem+i_gan+is_hans,#item+rem+i_hbs+is_latn,#item+rem+i_lav+is_latn,#item+rem+i_bos+is_latn,#item+rem+i_srn+is_latn,#item+rem+i_azb+is_arab,#item+rem+i_jav+is_latn,#item+rem+i_ell+is_grek,#item+rem+i_sun+is_latn,#item+rem+i_fry+is_latn,#item+rem+i_ace+is_latn,#item+rem+i_jam+is_latn,#item+rem+i_che+is_cyrl,#item+rem+i_bel+is_cyrl,#item+rem+i_kab+is_latn,#item+rem+i_fao+is_latn,#item+rem+i_vmf+is_latn,#item+rem+i_bam+is_zyyy,#item+rem+i_frc+is_latn,#item+rem+i_prg+is_latn,#item+rem+i_lmo+is_latn,#item+rem+i_mar+is_deva,#item+rem+i_ady+is_cyrl,#item+rem+i_ary+is_arab,#item+rem+i_awa+is_deva,#item+rem+i_ban+is_latn,#item+rem+i_ast+is_latn,#item+rem+i_bcl+is_latn,#item+rem+i_bho+is_deva,#item+rem+i_bpy+is_beng,#item+rem+i_bxr+is_cyrl,#item+rem+i_cdo+is_zyyy,#item+rem+i_ckb+is_arab,#item+rem+i_diq+is_latn,#item+rem+i_dsb+is_latn,#item+rem+i_dty+is_deva,#item+rem+i_ext+is_latn,#item+rem+i_gcr+is_latn,#item+rem+i_gom+is_zyyy,#item+rem+i_frr+is_latn,#item+rem+i_hak+is_zyyy,#item+rem+i_hif+is_zyyy,#item+rem+i_hsb+is_latn,#item+rem+i_hyw+is_armn,#item+rem+i_ilo+is_latn,#item+rem+i_inh+is_cyrl,#item+rem+i_kaa+is_latn,#item+rem+i_kbd+is_cyrl,#item+rem+i_kbp+is_latn,#item+rem+i_mai+is_deva,#item+rem+i_mhr+is_cyrl,#item+rem+i_mwl+is_latn,#item+rem+i_mzn+is_arab,#item+rem+i_nah+is_latn,#item+rem+i_nan+is_latn,#item+rem+i_new+is_deva,#item+rem+i_pam+is_latn,#item+rem+i_pfl+is_latn,#item+rem+i_pnb+is_arab,#item+rem+i_rue+is_cyrl,#item+rem+i_rup+is_latn,#item+rem+i_sah+is_cyrl,#item+rem+i_sgs+is_latn,#item+rem+i_shi+is_zyyy,#item+rem+i_shn+is_mymr,#item+rem+i_smn+is_latn,#item+rem+i_stq+is_latn,#item+rem+i_szl+is_latn,#item+rem+i_tcy+is_zyyy,#item+rem+i_udm+is_cyrl,#item+rem+i_vep+is_latn,#item+rem+i_vro+is_latn,#item+rem+i_yue+is_zyyy,#item+rem+i_crh+is_latn,#item+rem+i_crh+is_cyrl,#item+rem+i_lad+is_zyyy,#item+rem+i_lez+is_cyrl,#item+rem+i_swa+is_latn,#item+rem+i_zha+is_zyyy,#item+rem+i_yor+is_latn,#item+rem+i_yid+is_hebr,#item+rem+i_xho+is_latn,#item+rem+i_uzb+is_latn,#item+rem+i_uig+is_zyyy,#item+rem+i_uig+is_arab,#item+rem+i_uig+is_latn,#item+rem+i_tat+is_zyyy,#item+rem+i_tat+is_cyrl,#item+rem+i_tat+is_latn,#item+rem+i_tso+is_latn,#item+rem+i_tgl+is_latn,#item+rem+i_tuk+is_latn,#item+rem+i_vol+is_latn,#item+rem+i_ina+is_latn,#item+rem+i_ile+is_latn,#item+rem+i_jbo+is_latn,#item+rem+i_nov+is_latn,#item+rem+i_zul+is_latn,#item+rem+i_mul+is_zxxx,#item+rem+i_und+is_zxxx,#item+rem+i_zxx+is_zxxx
1603:45:1:6:53,6_53,,,,,ODA,Office for Disarmament Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:6:54,6_54,,,,Q656812,OHCHR,Office of the United Nations High Commissioner for Human Rights,,,Q656812,المفوضية السامية للأمم المتحدة لحقوق الإنسان,ՄԱԿ-ի մարդու իրավունքների գերագույն հանձնակատարի գրասենյակ,,Управление Верховного комиссара ООН по правам человека,संयुक्त राष्ट्र मानवाधिकार उच्चायुक्त कार्यालय,,,,유엔 인권 고등판무관 사무소,,"משרד הנציב העליון של האו""ם לזכויות האדם",Curator supremus Consociationis Nationum pro Iuribus Humanis,,,,,ஐக்கிய நாடுகள் மனித உரிமைகள் ஆணையம்,,สำนักงานข้าหลวงใหญ่สิทธิมนุษยชนแห่งสหประชาชาติ,,聯合國人權事務高級專員辦事處,Escritório do Alto Comissário das Nações Unidas para os Direitos Humanos,Office of the High Commissioner for Human Rights,Haut-Commissariat des Nations unies aux droits de l'homme,United Nations High Commissioner for Human Rights,Hoher Kommissar der Vereinten Nationen für Menschenrechte,Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos,Alto Commissariato delle Nazioni Unite per i Diritti Umani,,Kontoret för FN:s högkommissarie för mänskliga rättigheter,,,Wysoki Komisarz Narodów Zjednoczonych do spraw Praw Człowieka,Yhdistyneiden kansakuntien ihmisoikeuskomissaarin korkean edustajan toimisto,Înaltul Comisar al ONU pentru drepturile omului,Văn phòng Cao ủy Nhân quyền Liên Hợp Quốc,Oficina de l'Alt Comissariat de les Nacions Unides per als Drets Humans,Управління Верховного комісара ООН з прав людини,Служба на Върховния комисар за правата на човека,,,FNs høykommissær for menneskerettigheter,Úřad Vysokého komisaře OSN pro lidská práva,Sekretariatet for FN's højkommissær for menneskerettigheder,国際連合人権高等弁務官事務所,SN sin høgkommissær for menneskerettar,ഓഫീസ് ഓഫ് ഹൈക്കമ്മീഷണർ ഫോർ ഹ്യൂമൻ റൈറ്റ്സ്,Kantor Komisaris Tinggi PBB untuk Hak Asasi Manusia,کمیساریای عالی حقوق بشر در سازمان ملل متحد,,Nazio Batuen Giza Eskubideetarako Goi Mandatariaren Bulegoa,Swyddfa'r Uchel Gomisiynydd Hawliau Dynol,,,Alta Komisaro de la Unuiĝintaj Nacioj pri Homaj Rajtoj,Pesuruhjaya Tinggi Hak Asasi Manusia Pertubuhan Bangsa-Bangsa Bersatu,ÜRO Inimõiguste Ülemvoliniku Amet,Visoki povjerenik Ujedinjenih naroda za ljudska prava,Birleşmiş Milletler İnsan Hakları Yüksek Komiserliği,,,,,,,,,,,聯合國人權事務高級專員辦事處,,,,,,,,,,,,,,Visoki komesarijat OUN za ljudska prava,,,,,,,,,,Високи комесаријат ОУН за људска права,اقوام متحدہ کے اعلیٰ کمشنر برائے انسانی حقوق,,,,Visoki povjerenik za ljudska prava UN-a,,,,,,Ύπατος Αρμοστής του ΟΗΕ για τα ανθρώπινα δικαιώματα,,,,,,Упраўленне Вярхоўнага камісара ААН па правах чалавека,,,,,,,,,,,,,,,,,,,نووسینگەی کۆمیسیارانی باڵای نەتەوە یەکگرتووەکان بۆ مافی مرۆڤ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ofisi ya kamishna mkuu wa haki za binadamu,,,,,,,,,БМО Кеше хокуклары буенча югары комиссары идарәсе,,,,,,,,,,,,,,
1603:45:1:6:55,6_55,,,,,OIOS,Office of Internal Oversight Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:6:56,6_56,,,,,OLA,Office of Legal Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:6:57,6_57,,,,,OOSA,Office for Outer Space Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:6:58,6_58,,,,,OSAA,Office of the Special Adviser on Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:6:59,6_59,,,,,SRSG/CAAC,Office of the Special Representative of the SecretaryGeneral for Children and Armed Conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:6:60,6_60,,,,,SRSG/SVC,Office of the Special Representative of the SecretaryGeneral on Sexual Violence in Conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:6:61,6_61,,,,,SRSG/VAC,Office of the Special Representative of the SecretaryGeneral on Violence Against Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:6:62,6_62,,,,Q7888446,UNDRR,United Nations Office for Disaster Risk Reduction,,,Q7888446,مكتب الأمم المتحدة للحد من مخاطر الكوارث,,,ООН — Снижение рисков стихийных бедствий,,,,,유엔 재해 위험 감소 사무국,,"משרד האו""ם להפחתת סיכונים באסון",,,,,,,,,,聯合國減少災害風險辦公室,Estratégia Internacional das Nações Unidas para a Redução de Desastres,United Nations Office for Disaster Risk Reduction,United Nations International Strategy for Disaster Reduction,,,Oficina de las Naciones Unidas para la Reducción del Riesgo de Desastres,,,,,,Międzynarodowa strategia ONZ na rzecz ograniczania zakresu klęsk żywiołowych,United Nations Office for Disaster Risk Reduction,,,,,,,,FNs organ for katastrofeforebygging,,,国連国際防災戦略,,,,,,,,,,,Pejabat Pertubuhan Bangsa-Bangsa Bersatu untuk Pengurangan Risiko Bencana,ÜRO katastroofiohu vähendamise amet,,,,,,,,,,,,,聯合國國際減災戰略祕書處,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,БМО — Табигый һәләкатьләр рискларын әзәйтү,,,,,,,,,,,,,,
1603:45:1:6:63,6_63,,,,Q636107,UNODC,United Nations Office on Drugs and Crime,,,Q636107,مكتب الأمم المتحدة المعني بالمخدرات والجريمة,ՄԱԿ-ի Թմրամիջոցների և հանցագործության դեմ պայքարի գրասենյակ,,Управление ООН по наркотикам и преступности,संयुक्त राष्ट्र अंतरराष्ट्रीय मादक पदार्थ नियंत्रण कार्यक्रम,,,,유엔 마약 범죄 사무소,,משרד האומות המאוחדות למאבק בסמים ובפשיעה,Officium Consociationis Nationum de Medicamentis et Scelere,,,,,,,สำนักงานว่าด้วยยาเสพติดและอาชญากรรมแห่งสหประชาชาติ,,聯合國毒品和犯罪問題辦公室,Escritório das Nações Unidas sobre Drogas e Crime,United Nations Office on Drugs and Crime,Office des Nations unies contre les drogues et le crime,United Nations Office on Drugs and Crime,Büro der Vereinten Nationen für Drogen- und Verbrechensbekämpfung,Oficina de Naciones Unidas contra la Droga y el Delito,Ufficio delle Nazioni Unite per il Controllo della Droga e la Prevenzione del Crimine,,FN:s kontor för narkotikakontroll och förebyggande av brott,,,,YK:n huumeiden ja rikollisuuden torjunnasta vastaava toimisto,,Văn phòng Liên Hiệp Quốc về chống Ma túy và Tội phạm,Oficina de Nacions Unides contra la Droga i el Delicte,Управління ООН з наркотиків і злочинності,Служба на ООН по наркотиците и престъпността,,,FNs kontor for narkotika og kriminalitet,,United Nations Office on Drugs and Crime,国際連合薬物犯罪事務所,,,Kantor PBB Urusan Narkoba dan Kejahatan,دفتر مقابله با مواد مخدر و جرم سازمان ملل متحد,,,,,,Oficejo de Unuiĝintaj Nacioj pri Narkotaĵoj kaj Krimo,Pejabat Pertubuhan Bangsa-Bangsa Bersatu mengenai Dadah dan Jenayah,ÜRO Uimastite ja Kuritegevuse Büroo,,Birleşmiş Milletler Uyuşturucu ve Suç Ofisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,دفتر اقوام متحدہ برائے منشیات و جرائم,,,,,,,,,,,,,,,,Упраўленне ААН па наркотыках і злачыннасці,,,,,,,,,,,,,,,,,,,نووسینگەی نەتەوە یەکگرتووەکان بۆ ماددە ھۆشبەرەکان و تاوان,,,,,,,,,,,,,,,,,,,,,,,,,,دفتر اقوام متحدہ برائے منشیات و جرائم,,,,,,,,,,,,,,,,,,,UNODC,,,,,,,,,Берләшкән Милләтләрнең наркотиклар һәм җинаятьчелеккә каршылык офисы,,,,,,,,,,,,,,
1603:45:1:6:65,6_65,,,,Q7888481,UN-OHRLLS,"Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States",,,Q7888481,مكتب الممثل السامي للأمم المتحدة لأقل البلدان نموا و البلدان النامية غير الساحلية و الدول الجزرية الصغيرة النامية,,,КВПНРМ,,,,,,,,,,,,,,,,,聯合國最不發達國家、內陸發展中國家和小島嶼發展中國家高級代表辦公室,,"United Nations Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States","bureau du Haut Représentant des Nations Unies pour les pays les moins avancés, les pays en développement sans littoral et les petits États insulaires en développement",,,OHRLLS,"Ufficio dell'Alto rappresentante delle Nazioni Unite per i paesi meno sviluppati, i paesi in via di sviluppo senza sbocco sul mare e i piccoli stati insulari in via di sviluppo",,,,,,,,,,UN-OHRLLS,,,,,,,国際連合後発開発途上国、内陸開発途上国、小島嶼国開発途上国担当上級代表事務所,,,,دفتر نماینده عالی سازمان ملل متحد برای کشورهای توسعهنیافته، کشورهای در حال توسعه محصور در خشکی و کشورهای جزیرهای کوچک در حال توسعه,,,,,,,,,,,,,,,,,,,,,聯合國最不已開發國家、內陸發展中國家和小島嶼發展中國家高階代表辦事處,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:6:67,6_67,,,,,UNOP,United Nations Office for Partnerships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:9,9,,,/Base namespace: private use namespace/@eng-Latn,,,,No restriction on reuse of numbers exist on this private namespace. (currently is used as draft for agencies without number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:9:1,9_1,,,,Q1577943,,United Nations Postal Administration,,,Q1577943,الإدارة البريدية للأمم المتحدة,,,Почтовая администрация ООН,,,,,,,,,,,,,,,,,聯合國郵政管理處,,United Nations Postal Administration,Administration postale des Nations unies,,Postverwaltung der Vereinten Nationen,Administración Postal de las Naciones Unidas,Amministrazione Postale delle Nazioni Unite,,,,,,,,,,Поштова адміністрація ООН,,,,,,,国際連合郵便,,,,,,,,,,,Pentadbiran Pos Pertubuhan Bangsa-Bangsa Bersatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Берләшкән Милләтләр Почта администрациясе,,,,,,,,,,,,,,
1603:45:1:9:2,9_2,,,,Q962612,,United Nations Research Institute For Social Development,,,Q962612,معهد الأمم المتحدة لبحوث التنمية الاجتماعية,,,Научно-исследовательский институт социального развития ООН,,,,,,,,,,,,,,,,,聯合國社會發展研究所,Instituto de Pesquisa das Nações Unidas para o Desenvolvimento Social,United Nations Research Institute For Social Development,Institut de recherche des Nations unies pour le développement social,United Nations Research Institute For Social Development,UN-Forschungsinstitut für soziale Entwicklung,Instituto de Investigación de las Naciones Unidas para el Desarrollo Social,Istituto di ricerca delle Nazioni Unite per lo sviluppo sociale,,,,,UNRISD,,,Viện Nghiên cứu Phát triển xã hội Liên Hợp Quốc,Instituto de Investigaciones de las Naciones Unidas para el Desarrollo Social,Науково-дослідницький інститут соціального розвитку Організації об'єднаних націй,,,,,,,国連社会開発研究所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Институт за социјални развој Ораганизације уједињених нација,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,پەیمانگای توێژینەوە بۆ پەرەسەندنی کۆمەڵایەتی نەتەوە یەکگرتووەکان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRISD,,,,,,,,,,,,,,,,,,,,,,,
1603:45:1:9:3,9_3,,,,Q37470,,United Nations Security Council,,,Q37470,مجلس الأمن التابع للأمم المتحدة,ՄԱԿ-ի Անվտանգության Խորհուրդ,জাতিসংঘ নিরাপত্তা পরিষদ,Совет Безопасности ООН,संयुक्त राष्ट्र सुरक्षा परिषद,გოეროშ უშქურანჯალაშ სხუნუ,,ವಿಶ್ವಸಂಸ್ಥೆಯ ಭದ್ರತಾ ಮಂಡಳಿ,유엔 안전 보장 이사회,聯合國安全理事會,מועצת הביטחון,Concilium Salutis,,ကံင်သဳဂီုကၠီု,,,ஐக்கிய நாடுகள் பாதுகாப்பு அவை,ఐక్యరాజ్య సమితి భద్రతా మండలి,คณะมนตรีความมั่นคงแห่งสหประชาชาติ,,联合国安全理事会,Conselho de Segurança das Nações Unidas,United Nations Security Council,Conseil de sécurité des Nations unies,Veiligheidsraad van de Verenigde Naties,Sicherheitsrat der Vereinten Nationen,Consejo de Seguridad de las Naciones Unidas,Consiglio di sicurezza delle Nazioni Unite,Comhairle Slándála na Náisiún Aontaithe,FN:s säkerhetsråd,,Këshilli i Sigurimit i Organizatës së Kombeve të Bashkuara,Rada Bezpieczeństwa ONZ,Yhdistyneiden kansakuntien turvallisuusneuvosto,Consiliul de Securitate al ONU,Hội đồng Bảo an Liên Hợp Quốc,Consell de Seguretat de l'ONU,Рада Безпеки ООН,Съвет за сигурност на ООН,Varnostni svet OZN,,FNs sikkerhetsråd,Rada bezpečnosti OSN,FN's sikkerhedsråd,国際連合安全保障理事会,Tryggingsrådet i Dei sameinte nasjonane,ഐക്യരാഷ്ട്രസഭ സുരക്ഷാസമിതി,Dewan Keamanan Perserikatan Bangsa-Bangsa,شورای امنیت سازمان ملل متحد,Egyesült Nemzetek Szervezete Biztonsági Tanácsa,Nazio Batuen Segurtasun Kontseilua,Cyngor Diogelwch y Cenhedloedd Unedig,Consello de Seguridade das Nacións Unidas,Bezpečnostná rada Organizácie Spojených národov,Konsilio de Sekureco de Unuiĝintaj Nacioj,Majlis Keselamatan Pertubuhan Bangsa-Bangsa Bersatu,ÜRO Julgeolekunõukogu,Vijeće sigurnosti Ujedinjenih naroda,Birleşmiş Milletler Güvenlik Konseyi,,Conselh de Securitat de las Nacions Unidas,,Kuzul Surentez ar Broadoù Unanet,مجلس الامن,,Sécherheetsrot vun de Vereenten Natiounen,Unitit Naitions Security Cooncil,,,聯合國安全理事會,,,Dr Sicherheitsroot vo de Vereinte Natione,Öryggisráð Sameinuðu þjóðanna,Dewan Kaamanan Pasarikatan Banso-Banso,,Consejo de Seguresa de l'ONU,,,,,,,,,,,,,,,Consèly de sècuritât des Nacions unies,联合国安理会,Савет безбедности Организације уједињених нација,سلامتی کونسل,,Jungtinių Tautų Saugumo Taryba,,Savet bezbednosti Ujedinjenih nacija,ANO Drošības padome,Vijeće sigurnosti Ujedinjenih naroda,,بیرلشمیش میلتلر گوونلیک شوراسی,Dhéwan Kaamanan PBB,Συμβούλιο Ασφαλείας Ηνωμένων Εθνών,,,,,,Савет Бяспекі ААН,Aseqqamu n Tɣellist n Yeɣlanen Yeddukklen,Trygdarráð ST,,,,,,संयुक्त राष्ट्रे सुरक्षा परिषद,,,,,Conseyu de Seguridá de les Naciones Xuníes,,,,,,ئەنجومەنی ئاسایشی نەتەوە یەکگرتووەکان,,,,,,,,,,,ՄԱԿ-ի Ապահովութեան Խորհուրդ,,,,,,संयुक्त राष्ट्र सुरक्षा परिषद,,,امنیت شورا,,An-chôan Lí-sū-hōe,,,,بچاؤ پریہا,Рада безпечности ОЗН,,,,,,,,,ಭದ್ರತಾ ಮ೦ಡಳಿ,,,,聯合國安全理事會,,,,,Baraza la Usalama la Umoja wa Mataifa,,United Nations Security Council,זיכערהייטס ראט,Ibhunga lezokhuseleko leZizwe eziManyeneyo,Birlashgan millatlar tashkilotining xavfsizlik kengashi,,,,БМО Иминлек Шурасы,,,,Kapulungang Panseguridad ng mga Nagkakaisang Bansa,,,Consilio de Securitate del Nationes Unite,,,,,,,
