#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_eng+is_latn+ix_signum,#item+rem+i_eng+is_latn+ix_completum,#item+rem+i_eng+is_latn+ix_definitionem,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:45:1:63:430,63_430,,,,//Red Cross and Red Crescent of Liberia//,,
1603:45:1:63:434,63_434,,,,//Red Cross and Red Crescent of Libya//,,
1603:45:1:63:438,63_438,,,,//Red Cross and Red Crescent of Liechtenstein//,,
1603:45:1:63:440,63_440,,Q6648412,,//Red Cross and Red Crescent of Lithuania//,,
1603:45:1:63:442,63_442,,Q13102234,,//Red Cross and Red Crescent of Luxembourg//,,
1603:45:1:63:446,63_446,,Q20063812,,"//Red Cross and Red Crescent of China, Macao Special Administrative Region//",,
1603:45:1:63:450,63_450,,,,//Red Cross and Red Crescent of Madagascar//,,
1603:45:1:63:454,63_454,,,,//Red Cross and Red Crescent of Malawi//,,
1603:45:1:63:458,63_458,,Q6742015,,//Red Cross and Red Crescent of Malaysia//,,
1603:45:1:63:462,63_462,,Q6742837,,//Red Cross and Red Crescent of Maldives//,,
1603:45:1:63:466,63_466,,Q963785,,//Red Cross and Red Crescent of Mali//,,
1603:45:1:63:470,63_470,,,,//Red Cross and Red Crescent of Malta//,,
1603:45:1:63:474,63_474,,,,//Red Cross and Red Crescent of Martinique//,,
1603:45:1:63:478,63_478,,,,//Red Cross and Red Crescent of Mauritania//,,
1603:45:1:63:480,63_480,,,,//Red Cross and Red Crescent of Mauritius//,,
1603:45:1:63:484,63_484,,Q5792387,,//Red Cross and Red Crescent of Mexico//,,
1603:45:1:63:492,63_492,,,,//Red Cross and Red Crescent of Monaco//,,
1603:45:1:63:496,63_496,,,,//Red Cross and Red Crescent of Mongolia//,,
1603:45:1:63:498,63_498,,,,//Red Cross and Red Crescent of Republic of Moldova//,,
1603:45:1:63:499,63_499,,,,//Red Cross and Red Crescent of Montenegro//,,
1603:45:1:63:500,63_500,,,,//Red Cross and Red Crescent of Montserrat//,,
1603:45:1:63:504,63_504,,,,//Red Cross and Red Crescent of Morocco//,,
1603:45:1:63:508,63_508,,,,//Red Cross and Red Crescent of Mozambique//,,
1603:45:1:63:512,63_512,,,,//Red Cross and Red Crescent of Oman//,,
1603:45:1:63:516,63_516,,Q260961,,//Red Cross and Red Crescent of Namibia//,,
1603:45:1:63:520,63_520,,,,//Red Cross and Red Crescent of Nauru//,,
1603:45:1:63:524,63_524,,Q6994401,,//Red Cross and Red Crescent of Nepal//,,
1603:45:1:63:528,63_528,,Q16238073,,//Red Cross and Red Crescent of Netherlands//,,
1603:45:1:63:531,63_531,,,,//Red Cross and Red Crescent of Curaçao//,,
1603:45:1:63:533,63_533,,,,//Red Cross and Red Crescent of Aruba//,,
1603:45:1:63:534,63_534,,,,//Red Cross and Red Crescent of Sint Maarten (Dutch part)//,,
1603:45:1:63:535,63_535,,,,"//Red Cross and Red Crescent of Bonaire, Sint Eustatius and Saba//",,
1603:45:1:63:540,63_540,,,,//Red Cross and Red Crescent of New Caledonia//,,
1603:45:1:63:548,63_548,,Q7915237,,//Red Cross and Red Crescent of Vanuatu//,,
1603:45:1:63:554,63_554,,Q7015611,,//Red Cross and Red Crescent of New Zealand//,,
1603:45:1:63:558,63_558,,Q7024453,,//Red Cross and Red Crescent of Nicaragua//,,
1603:45:1:63:562,63_562,,Q3698021,,//Red Cross and Red Crescent of Niger//,,
1603:45:1:63:566,63_566,,Q3698044,,//Red Cross and Red Crescent of Nigeria//,,
1603:45:1:63:570,63_570,,,,//Red Cross and Red Crescent of Niue//,,
1603:45:1:63:574,63_574,,,,//Red Cross and Red Crescent of Norfolk Island//,,
1603:45:1:63:578,63_578,,Q927391,,//Red Cross and Red Crescent of Norway//,,
1603:45:1:63:581,63_581,,,,//Red Cross and Red Crescent of United States Minor Outlying Islands (the)//,,
1603:45:1:63:583,63_583,,,,//Red Cross and Red Crescent of Micronesia (Federated States of)//,,
1603:45:1:63:584,63_584,,,,//Red Cross and Red Crescent of Marshall Islands//,,
1603:45:1:63:585,63_585,,Q7126862,,//Red Cross and Red Crescent of Palau//,,
1603:45:1:63:586,63_586,,Q7125686,,//Red Cross and Red Crescent of Pakistan//,,
1603:45:1:63:591,63_591,,,,//Red Cross and Red Crescent of Panama//,,
1603:45:1:63:598,63_598,,Q7133163,,//Red Cross and Red Crescent of Papua New Guinea//,,
1603:45:1:63:600,63_600,,,,//Red Cross and Red Crescent of Paraguay//,,
1603:45:1:63:604,63_604,,,,//Red Cross and Red Crescent of Peru//,,
1603:45:1:63:608,63_608,,Q14472988,,//Red Cross and Red Crescent of Philippines//,,
1603:45:1:63:612,63_612,,,,//Red Cross and Red Crescent of Pitcairn//,,
1603:45:1:63:616,63_616,,Q6127600,,//Red Cross and Red Crescent of Poland//,,
1603:45:1:63:620,63_620,,,,//Red Cross and Red Crescent of Portugal//,,
1603:45:1:63:624,63_624,,,,//Red Cross and Red Crescent of Guinea-Bissau//,,
1603:45:1:63:626,63_626,,,,//Red Cross and Red Crescent of Timor-Leste//,,
1603:45:1:63:630,63_630,,,,//Red Cross and Red Crescent of Puerto Rico//,,
1603:45:1:63:634,63_634,,Q7267117,,//Red Cross and Red Crescent of Qatar//,,
1603:45:1:63:638,63_638,,,,//Red Cross and Red Crescent of Réunion//,,
1603:45:1:63:642,63_642,,Q7362571,,//Red Cross and Red Crescent of Romania//,,
1603:45:1:63:643,63_643,,Q4398040,,//Red Cross and Red Crescent of Russian Federation//,,
1603:45:1:63:646,63_646,,Q3698045,,//Red Cross and Red Crescent of Rwanda//,,
1603:45:1:63:652,63_652,,,,//Red Cross and Red Crescent of Saint Barthélemy//,,
1603:45:1:63:654,63_654,,,,//Red Cross and Red Crescent of Saint Helena//,,
1603:45:1:63:659,63_659,,Q7401605,,//Red Cross and Red Crescent of Saint Kitts and Nevis//,,
1603:45:1:63:660,63_660,,,,//Red Cross and Red Crescent of Anguilla//,,
1603:45:1:63:662,63_662,,Q7401698,,//Red Cross and Red Crescent of Saint Lucia//,,
1603:45:1:63:663,63_663,,,,//Red Cross and Red Crescent of Saint Martin (French part)//,,
1603:45:1:63:666,63_666,,,,//Red Cross and Red Crescent of Saint Pierre and Miquelon//,,
1603:45:1:63:670,63_670,,,,//Red Cross and Red Crescent of Saint Vincent and The Grenadines//,,
1603:45:1:63:674,63_674,,,,//Red Cross and Red Crescent of San Marino//,,
1603:45:1:63:678,63_678,,Q7665722,,//Red Cross and Red Crescent of Sao Tome and Principe//,,
1603:45:1:63:682,63_682,,Q2080022,,//Red Cross and Red Crescent of Saudi Arabia//,,
1603:45:1:63:686,63_686,,Q3003248,,//Red Cross and Red Crescent of Senegal//,,
1603:45:1:63:688,63_688,,Q20011251,,//Red Cross and Red Crescent of Serbia//,,
1603:45:1:63:690,63_690,,,,//Red Cross and Red Crescent of Seychelles//,,
1603:45:1:63:694,63_694,,Q7511423,,//Red Cross and Red Crescent of Sierra Leone//,,
1603:45:1:63:702,63_702,,Q7523102,,//Red Cross and Red Crescent of Singapore//,,
1603:45:1:63:703,63_703,,,,//Red Cross and Red Crescent of Slovakia//,,
1603:45:1:63:704,63_704,,Q10772254,,//Red Cross and Red Crescent of Viet Nam//,,
1603:45:1:63:705,63_705,,Q12800001,,//Red Cross and Red Crescent of Slovenia//,,
1603:45:1:63:706,63_706,,Q7559151,,//Red Cross and Red Crescent of Somalia//,,
1603:45:1:63:710,63_710,,,,//Red Cross and Red Crescent of South Africa//,,
1603:45:1:63:716,63_716,,Q8072007,,//Red Cross and Red Crescent of Zimbabwe//,,
1603:45:1:63:724,63_724,,Q5792382,,//Red Cross and Red Crescent of Spain//,,
1603:45:1:63:728,63_728,,,,//Red Cross and Red Crescent of South Sudan//,,
1603:45:1:63:729,63_729,,Q7633372,,//Red Cross and Red Crescent of Sudan//,,
1603:45:1:63:732,63_732,,,,//Red Cross and Red Crescent of Western Sahara//,,
1603:45:1:63:740,63_740,,,,//Red Cross and Red Crescent of Suriname//,,
1603:45:1:63:744,63_744,,,,//Red Cross and Red Crescent of Svalbard and Jan Mayen Islands//,,
1603:45:1:63:748,63_748,,,,//Red Cross and Red Crescent of Kingdom of Eswatini//,,
1603:45:1:63:752,63_752,,Q18333444,,//Red Cross and Red Crescent of Sweden//,,
1603:45:1:63:756,63_756,,Q456988,,//Red Cross and Red Crescent of Switzerland//,,
1603:45:1:63:760,63_760,,Q7663208,,//Red Cross and Red Crescent of Syrian Arab Republic//,,
1603:45:1:63:762,63_762,,Q1483344,,//Red Cross and Red Crescent of Tajikistan//,,
1603:45:1:63:764,63_764,,Q4922087,,//Red Cross and Red Crescent of Thailand//,,
1603:45:1:63:768,63_768,,Q7813206,,//Red Cross and Red Crescent of Togo//,,
1603:45:1:63:772,63_772,,,,//Red Cross and Red Crescent of Tokelau//,,
1603:45:1:63:776,63_776,,Q7820968,,//Red Cross and Red Crescent of Tonga//,,
1603:45:1:63:780,63_780,,Q16238476,,//Red Cross and Red Crescent of Trinidad and Tobago//,,
1603:45:1:63:784,63_784,,Q7303955,,//Red Cross and Red Crescent of United Arab Emirates//,,
1603:45:1:63:788,63_788,,Q12194677,,//Red Cross and Red Crescent of Tunisia//,,
1603:45:1:63:792,63_792,,Q1059602,,//Red Cross and Red Crescent of Turkey//,,
1603:45:1:63:795,63_795,,Q7303954,,//Red Cross and Red Crescent of Turkmenistan//,,
1603:45:1:63:796,63_796,,,,//Red Cross and Red Crescent of Turks and Caicos Islands//,,
1603:45:1:63:798,63_798,,,,//Red Cross and Red Crescent of Tuvalu//,,
1603:45:1:63:800,63_800,,Q2473903,,//Red Cross and Red Crescent of Uganda//,,
1603:45:1:63:804,63_804,,Q9364596,,//Red Cross and Red Crescent of Ukraine//,,
1603:45:1:63:807,63_807,,,,//Red Cross and Red Crescent of Republic of North Macedonia//,,
1603:45:1:63:818,63_818,,,,//Red Cross and Red Crescent of Egypt//,,
1603:45:1:63:826,63_826,,Q4970966,,//Red Cross and Red Crescent of United Kingdom of Great Britain and Northern Ireland//,,
1603:45:1:63:831,63_831,,,,//Red Cross and Red Crescent of Guernsey//,,
1603:45:1:63:832,63_832,,,,//Red Cross and Red Crescent of Jersey//,,
1603:45:1:63:833,63_833,,,,//Red Cross and Red Crescent of Isle of Man//,,
1603:45:1:63:834,63_834,,,,//Red Cross and Red Crescent of United Republic of Tanzania//,,
1603:45:1:63:840,63_840,,Q470110,,//Red Cross and Red Crescent of United States of America//,,
1603:45:1:63:854,63_854,,Q3697997,,//Red Cross and Red Crescent of Burkina Faso//,,
1603:45:1:63:858,63_858,,,,//Red Cross and Red Crescent of Uruguay//,,
1603:45:1:63:860,63_860,,,,//Red Cross and Red Crescent of Uzbekistan//,,
1603:45:1:63:862,63_862,,,,//Red Cross and Red Crescent of Venezuela (Bolivarian Republic of)//,,
1603:45:1:63:876,63_876,,,,//Red Cross and Red Crescent of Wallis and Futuna Islands//,,
1603:45:1:63:882,63_882,,Q7409910,,//Red Cross and Red Crescent of Samoa//,,
1603:45:1:63:887,63_887,,Q85816683,,//Red Cross and Red Crescent of Yemen//,,
1603:45:1:63:894,63_894,,Q8065682,,//Red Cross and Red Crescent of Zambia//,,
