qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,jpn-Jpan-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,jpn-Jpan-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,jpn-Jpan-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:392:2:6003,6003,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6003,Nakayama-machi,中山町,JP06003,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6004,6004,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6004,Nanyo City,南陽市,JP06004,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6005,6005,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6005,Oe-machi,大江町,JP06005,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6006,6006,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6006,Oishida-machi,大石田町,JP06006,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6007,6007,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6007,Okura-mura,大蔵村,JP06007,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6008,6008,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6008,Tendo City,天童市,JP06008,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6009,6009,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6009,Sagae City,寒河江市,JP06009,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6010,6010,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6010,Oguni-machi,小国町,JP06010,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6011,6011,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6011,Obanazawa City,尾花沢市,JP06011,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6012,6012,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6012,Yamagata City,山形市,JP06012,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6013,6013,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6013,Yamanobe-machi,山辺町,JP06013,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6014,6014,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6014,Kawanishi-cho,川西町,JP06014,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6015,6015,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6015,Shonai-machi,庄内町,JP06015,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6016,6016,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6016,Tozawa-mura,戸沢村,JP06016,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6017,6017,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6017,Shinjo City,新庄市,JP06017,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6018,6018,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6018,Mogami-machi,最上町,JP06018,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6019,6019,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6019,Asahi-machi,朝日町,JP06019,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6020,6020,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6020,Murayama City,村山市,JP06020,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6021,6021,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6021,Higashine City,東根市,JP06021,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6022,6022,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6022,Kahoku-cho,河北町,JP06022,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6023,6023,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6023,Shirataka-machi,白鷹町,JP06023,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6024,6024,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6024,Mamurogawa-machi,真室川町,JP06024,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6025,6025,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6025,Yonezawa City,米沢市,JP06025,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6026,6026,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6026,Funagata-machi,舟形町,JP06026,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6027,6027,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6027,Nishikawa-machi,西川町,JP06027,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6028,6028,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6028,Yuza-machi,遊佐町,JP06028,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6029,6029,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6029,Sakata City,酒田市,JP06029,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6030,6030,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6030,Kaneyama-machi,金山町,JP06030,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6031,6031,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6031,Nagai City,長井市,JP06031,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6032,6032,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6032,Iide-machi,飯豊町,JP06032,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6033,6033,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6033,Takahata-machi,高畠町,JP06033,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6034,6034,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6034,Sakegawa-mura,鮭川村,JP06034,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:6035,6035,1603:45:16:392:0,1603:45:16:392:1:6,1603:45:16:392:2:6035,Tsuruoka City,鶴岡市,JP06035,Yamagata,山形県,JP06,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7001,7001,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7001,Iwaki City,いわき市,JP07001,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7002,7002,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7002,Mishima-machi,三島町,JP07002,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7003,7003,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7003,Miharu-machi,三春町,JP07003,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7004,7004,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7004,Shimogo-machi,下郷町,JP07004,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7005,7005,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7005,Nakajima-mura,中島村,JP07005,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7006,7006,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7006,Nihonmatsu City,二本松市,JP07006,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7007,7007,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7007,Date City,伊達市,JP07007,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7008,7008,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7008,Aizubange-machi,会津坂下,JP07008,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7009,7009,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7009,Aizumisato-machi,会津美里,JP07009,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7010,7010,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7010,Aizuwakamatsu City,会津若松,JP07010,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7011,7011,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7011,Kitashiobara-mura,北塩原村,JP07011,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7012,7012,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7012,Minamiaizu-machi,南会津町,JP07012,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7013,7013,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7013,Minamisoma City,南相馬市,JP07013,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7014,7014,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7014,Futaba-machi,双葉町,JP07014,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7015,7015,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7015,Furudono-machi,古殿町,JP07015,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7016,7016,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7016,Tadami-machi,只見町,JP07016,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7017,7017,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7017,Kitakata City,喜多方市,JP07017,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7018,7018,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7018,Kunimi-machi,国見町,JP07018,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7019,7019,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7019,Hanawa-machi,塙町,JP07019,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7020,7020,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7020,Okuma-machi,大熊町,JP07020,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7021,7021,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7021,Otama-mura,大玉村,JP07021,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7022,7022,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7022,Tenei-mura,天栄村,JP07022,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7023,7023,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7023,Tomioka-machi,富岡町,JP07023,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7024,7024,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7024,Ono-machi,小野町,JP07024,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7025,7025,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7025,Kawamata-machi,川俣町,JP07025,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7026,7026,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7026,Kawauchi-mura,川内村,JP07026,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7027,7027,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7027,Hirata-mura,平田村,JP07027,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7028,7028,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7028,Hirono-machi,広野町,JP07028,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7029,7029,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7029,Shinchi-machi,新地町,JP07029,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7030,7030,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7030,Showa-mura,昭和村,JP07030,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7031,7031,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7031,Motomiya City,本宮市,JP07031,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7032,7032,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7032,Yanaizu-machi,柳津町,JP07032,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7033,7033,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7033,Kori-machi,桑折町,JP07033,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7034,7034,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7034,Tanagura-machi,棚倉町,JP07034,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7035,7035,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7035,Naraha-machi,楢葉町,JP07035,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7036,7036,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7036,Hinoemata-mura,檜枝岐村,JP07036,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7037,7037,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7037,Izumizaki-mura,泉崎村,JP07037,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7038,7038,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7038,Asakawa-machi,浅川町,JP07038,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7039,7039,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7039,Namie-machi,浪江町,JP07039,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7040,7040,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7040,Yugawa-mura,湯川村,JP07040,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7041,7041,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7041,Inawashiro-machi,猪苗代町,JP07041,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7042,7042,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7042,Tamakawa-mura,玉川村,JP07042,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7043,7043,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7043,Tamura City,田村市,JP07043,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7044,7044,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7044,Shirakawa City,白河市,JP07044,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7045,7045,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7045,Soma City,相馬市,JP07045,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7046,7046,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7046,Yabuki-machi,矢吹町,JP07046,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7047,7047,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7047,Yamatsuri-machi,矢祭町,JP07047,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7048,7048,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7048,Ishioka-machi,石川町,JP07048,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7049,7049,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7049,Bandai-machi,磐梯町,JP07049,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7050,7050,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7050,Fukushima City,福島市,JP07050,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7051,7051,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7051,Katsurao-mura,葛尾村,JP07051,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7052,7052,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7052,Nishiaizu-machi,西会津町,JP07052,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7053,7053,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7053,Nishigo-mura,西郷村,JP07053,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7054,7054,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7054,Koriyama City,郡山市,JP07054,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7055,7055,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7055,Kaneyama-machi,金山町,JP07055,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7056,7056,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7056,Kagamiishi-machi,鏡石町,JP07056,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7057,7057,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7057,Sukagawa City,須賀川市,JP07057,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7058,7058,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7058,Iitate-mura,飯舘村,JP07058,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:7059,7059,1603:45:16:392:0,1603:45:16:392:1:7,1603:45:16:392:2:7059,Samegawa-mura,鮫川村,JP07059,Fukushima,福島県,JP07,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8001,8001,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8001,Kasumigaura City,かすみが,JP08001,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8002,8002,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8002,Tsukubamirai City,つくばみ,JP08002,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8003,8003,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8003,Tsukuba City,つくば市,JP08003,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8004,8004,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8004,Hitachinaka City,ひたちな,JP08004,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8005,8005,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8005,Shimotsuma City,下妻市,JP08005,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8006,8006,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8006,Goka-machi,五霞町,JP08006,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8007,8007,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8007,Yachiyo-machi,八千代町,JP08007,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8008,8008,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8008,Tone-machi,利根町,JP08008,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8009,8009,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8009,Kitaibaraki City,北茨城市,JP08009,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8010,8010,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8010,Toride City,取手市,JP08010,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8011,8011,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8011,Koga City,古河市,JP08011,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8012,8012,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8012,Tsuchiura City,土浦市,JP08012,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8013,8013,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8013,Bando City,坂東市,JP08013,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8014,8014,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8014,Shirosato-machi,城里町,JP08014,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8015,8015,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8015,Sakai-machi,境町,JP08015,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8016,8016,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8016,Daigo-machi,大子町,JP08016,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8017,8017,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8017,Oarai-machi,大洗町,JP08017,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8018,8018,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8018,Moriya City,守谷市,JP08018,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8019,8019,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8019,Omitama City,小美玉市,JP08019,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8020,8020,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8020,Joso City,常総市,JP08020,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8021,8021,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8021,Hitachiomiya City,常陸大宮,JP08021,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8022,8022,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8022,Hitachiota City,常陸太田,JP08022,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8023,8023,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8023,Hitachi City,日立市,JP08023,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8024,8024,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8024,Tokai-mura,東海村,JP08024,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8025,8025,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8025,Sakuragawa City,桜川市,JP08025,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8026,8026,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8026,Mito City,水戸市,JP08026,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8027,8027,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8027,Kawachi-machi,河内町,JP08027,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
1603:45:16:392:2:8028,8028,1603:45:16:392:0,1603:45:16:392:1:8,1603:45:16:392:2:8028,Itako City,潮来市,JP08028,Ibaraki,茨城県,JP08,Japan,日本,JP,2019-12-17,2019-12-19,
