id,iso_3,adm0_name,adm0_name1,src_lvl,src_date,src_update,src_name,src_name1,src_lic,src_url,e_gpkg,e_shp,e_xlsx,o_gpkg,o_shp,o_xlsx
geo_1,GEO,Georgia,Georgia,1,2019-08-28,2020-05-20,National Statistics Office of Georgia [Administraciuli erTeulebi] ,OCHA ROCCA (Closed),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-geo,https://data.fieldmaps.io/cod/extended/geo_1.gpkg.zip,https://data.fieldmaps.io/cod/extended/geo_1.shp.zip,https://data.fieldmaps.io/cod/extended/geo_1.xlsx,https://data.fieldmaps.io/cod/originals/geo.gpkg.zip,https://data.fieldmaps.io/cod/originals/geo.shp.zip,https://data.fieldmaps.io/cod/originals/geo.xlsx
geo_2,GEO,Abkhazia,Georgia,1,2019-08-28,2020-05-20,National Statistics Office of Georgia [Administraciuli erTeulebi] ,OCHA ROCCA (Closed),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-geo,https://data.fieldmaps.io/cod/extended/geo_2.gpkg.zip,https://data.fieldmaps.io/cod/extended/geo_2.shp.zip,https://data.fieldmaps.io/cod/extended/geo_2.xlsx,https://data.fieldmaps.io/cod/originals/geo.gpkg.zip,https://data.fieldmaps.io/cod/originals/geo.shp.zip,https://data.fieldmaps.io/cod/originals/geo.xlsx
geo_3,GEO,Ajaria,Georgia,1,2019-08-28,2020-05-20,National Statistics Office of Georgia [Administraciuli erTeulebi] ,OCHA ROCCA (Closed),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-geo,https://data.fieldmaps.io/cod/extended/geo_3.gpkg.zip,https://data.fieldmaps.io/cod/extended/geo_3.shp.zip,https://data.fieldmaps.io/cod/extended/geo_3.xlsx,https://data.fieldmaps.io/cod/originals/geo.gpkg.zip,https://data.fieldmaps.io/cod/originals/geo.shp.zip,https://data.fieldmaps.io/cod/originals/geo.xlsx
gha,GHA,Ghana,Ghana,2,2021-03-10,2021-12-31,Ghana Statistical Services (GSS),OCHA West and Central Africa (ROWCA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-gha,https://data.fieldmaps.io/cod/extended/gha.gpkg.zip,https://data.fieldmaps.io/cod/extended/gha.shp.zip,https://data.fieldmaps.io/cod/extended/gha.xlsx,https://data.fieldmaps.io/cod/originals/gha.gpkg.zip,https://data.fieldmaps.io/cod/originals/gha.shp.zip,https://data.fieldmaps.io/cod/originals/gha.xlsx
gin,GIN,Guinea,Guinea,3,2017-08-03,2021-12-31,World Food Programme,OCHA West and Central Africa (ROWCA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-gin,https://data.fieldmaps.io/cod/extended/gin.gpkg.zip,https://data.fieldmaps.io/cod/extended/gin.shp.zip,https://data.fieldmaps.io/cod/extended/gin.xlsx,https://data.fieldmaps.io/cod/originals/gin.gpkg.zip,https://data.fieldmaps.io/cod/originals/gin.shp.zip,https://data.fieldmaps.io/cod/originals/gin.xlsx
glp,GLP,Guadeloupe (Fr.),Guadeloupe,2,2017-09-07,2019-12-10,www.gadm.org,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-glp,https://data.fieldmaps.io/cod/extended/glp.gpkg.zip,https://data.fieldmaps.io/cod/extended/glp.shp.zip,https://data.fieldmaps.io/cod/extended/glp.xlsx,https://data.fieldmaps.io/cod/originals/glp.gpkg.zip,https://data.fieldmaps.io/cod/originals/glp.shp.zip,https://data.fieldmaps.io/cod/originals/glp.xlsx
gmb,GMB,Gambia,Gambia,2,2017-08-11,2021-12-31,WFP,OCHA West and Central Africa (ROWCA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-gmb,https://data.fieldmaps.io/cod/extended/gmb.gpkg.zip,https://data.fieldmaps.io/cod/extended/gmb.shp.zip,https://data.fieldmaps.io/cod/extended/gmb.xlsx,https://data.fieldmaps.io/cod/originals/gmb.gpkg.zip,https://data.fieldmaps.io/cod/originals/gmb.shp.zip,https://data.fieldmaps.io/cod/originals/gmb.xlsx
gnb,GNB,Guinea-Bissau,Guinea-Bissau,2,2021-06-14,2022-03-28,Second Administrative Level Boundaries (SALB),OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-gnb,https://data.fieldmaps.io/cod/extended/gnb.gpkg.zip,https://data.fieldmaps.io/cod/extended/gnb.shp.zip,https://data.fieldmaps.io/cod/extended/gnb.xlsx,https://data.fieldmaps.io/cod/originals/gnb.gpkg.zip,https://data.fieldmaps.io/cod/originals/gnb.shp.zip,https://data.fieldmaps.io/cod/originals/gnb.xlsx
grd,GRD,Grenada,Grenada,1,2017-09-08,2021-12-03,www.gadm.org,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-grd,https://data.fieldmaps.io/cod/extended/grd.gpkg.zip,https://data.fieldmaps.io/cod/extended/grd.shp.zip,https://data.fieldmaps.io/cod/extended/grd.xlsx,https://data.fieldmaps.io/cod/originals/grd.gpkg.zip,https://data.fieldmaps.io/cod/originals/grd.shp.zip,https://data.fieldmaps.io/cod/originals/grd.xlsx
gtm,GTM,Guatemala,Guatemala,2,2019-02-15,2019-11-10,Coordinadora Nacional Para La Reducción De Desastres,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-gtm,https://data.fieldmaps.io/cod/extended/gtm.gpkg.zip,https://data.fieldmaps.io/cod/extended/gtm.shp.zip,https://data.fieldmaps.io/cod/extended/gtm.xlsx,https://data.fieldmaps.io/cod/originals/gtm.gpkg.zip,https://data.fieldmaps.io/cod/originals/gtm.shp.zip,https://data.fieldmaps.io/cod/originals/gtm.xlsx
guf,GUF,French Guiana (Fr.),French Guiana,2,2020-02-12,2020-02-12,Institut national de l’information géographique et forestière (IGN),OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-guf,https://data.fieldmaps.io/cod/extended/guf.gpkg.zip,https://data.fieldmaps.io/cod/extended/guf.shp.zip,https://data.fieldmaps.io/cod/extended/guf.xlsx,https://data.fieldmaps.io/cod/originals/guf.gpkg.zip,https://data.fieldmaps.io/cod/originals/guf.shp.zip,https://data.fieldmaps.io/cod/originals/guf.xlsx
guy,GUY,Guyana,Guyana,2,2021-06-23,2021-06-23,DEVInfo LAC project,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-guy,https://data.fieldmaps.io/cod/extended/guy.gpkg.zip,https://data.fieldmaps.io/cod/extended/guy.shp.zip,https://data.fieldmaps.io/cod/extended/guy.xlsx,https://data.fieldmaps.io/cod/originals/guy.gpkg.zip,https://data.fieldmaps.io/cod/originals/guy.shp.zip,https://data.fieldmaps.io/cod/originals/guy.xlsx
hnd,HND,Honduras,Honduras,2,2010-07-01,2020-11-24,"Sistema Nacional de Información Territorial (SINIT), Secretaria Técnica de Planificación y Cooperación Externa (SEPLAN), 2010",OCHA Latin America and the Caribbean (ROLAC),Other,https://data.humdata.org/dataset/cod-ab-hnd,https://data.fieldmaps.io/cod/extended/hnd.gpkg.zip,https://data.fieldmaps.io/cod/extended/hnd.shp.zip,https://data.fieldmaps.io/cod/extended/hnd.xlsx,https://data.fieldmaps.io/cod/originals/hnd.gpkg.zip,https://data.fieldmaps.io/cod/originals/hnd.shp.zip,https://data.fieldmaps.io/cod/originals/hnd.xlsx
hti,HTI,Haiti,Haiti,3,2018-12-05,2021-08-18,Centre National de l'Information Géo-Spatiale (CNIGS),OCHA Haiti,Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-hti,https://data.fieldmaps.io/cod/extended/hti.gpkg.zip,https://data.fieldmaps.io/cod/extended/hti.shp.zip,https://data.fieldmaps.io/cod/extended/hti.xlsx,https://data.fieldmaps.io/cod/originals/hti.gpkg.zip,https://data.fieldmaps.io/cod/originals/hti.shp.zip,https://data.fieldmaps.io/cod/originals/hti.xlsx
hun,HUN,Hungary,Hungary,2,2022-03-09,2022-03-22,OSM,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-hun,https://data.fieldmaps.io/cod/extended/hun.gpkg.zip,https://data.fieldmaps.io/cod/extended/hun.shp.zip,https://data.fieldmaps.io/cod/extended/hun.xlsx,https://data.fieldmaps.io/cod/originals/hun.gpkg.zip,https://data.fieldmaps.io/cod/originals/hun.shp.zip,https://data.fieldmaps.io/cod/originals/hun.xlsx
idn,IDN,Indonesia,Indonesia,4,2020-04-08,2020-04-08,Badan Pusat Statistik (BPS - Statistics Indonesia),OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-idn,https://data.fieldmaps.io/cod/extended/idn.gpkg.zip,https://data.fieldmaps.io/cod/extended/idn.shp.zip,https://data.fieldmaps.io/cod/extended/idn.xlsx,https://data.fieldmaps.io/cod/originals/idn.gpkg.zip,https://data.fieldmaps.io/cod/originals/idn.shp.zip,https://data.fieldmaps.io/cod/originals/idn.xlsx
irn,IRN,Iran (Islamic Republic of),Iran (Islamic Republic of),2,2019-05-20,2019-05-20,UNHCR,OCHA Middle East and North Africa (ROMENA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-irn,https://data.fieldmaps.io/cod/extended/irn.gpkg.zip,https://data.fieldmaps.io/cod/extended/irn.shp.zip,https://data.fieldmaps.io/cod/extended/irn.xlsx,https://data.fieldmaps.io/cod/originals/irn.gpkg.zip,https://data.fieldmaps.io/cod/originals/irn.shp.zip,https://data.fieldmaps.io/cod/originals/irn.xlsx
irq,IRQ,Iraq,Iraq,3,2019-06-05,2021-02-11,Iraq Central Statistics Office,OCHA Iraq,Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-irq,https://data.fieldmaps.io/cod/extended/irq.gpkg.zip,https://data.fieldmaps.io/cod/extended/irq.shp.zip,https://data.fieldmaps.io/cod/extended/irq.xlsx,https://data.fieldmaps.io/cod/originals/irq.gpkg.zip,https://data.fieldmaps.io/cod/originals/irq.shp.zip,https://data.fieldmaps.io/cod/originals/irq.xlsx
jam,JAM,Jamaica,Jamaica,1,2017-09-09,2019-10-08,Boundaries:  GADM database of Global Administrative Areas (www.gadm.org).  P-codes:  Ministry of Foreign Affairs and Foreign Trade,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-jam,https://data.fieldmaps.io/cod/extended/jam.gpkg.zip,https://data.fieldmaps.io/cod/extended/jam.shp.zip,https://data.fieldmaps.io/cod/extended/jam.xlsx,https://data.fieldmaps.io/cod/originals/jam.gpkg.zip,https://data.fieldmaps.io/cod/originals/jam.shp.zip,https://data.fieldmaps.io/cod/originals/jam.xlsx
jpn,JPN,Japan,Japan,2,2019-12-17,2019-12-19,Prefecture governments,OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-jpn,https://data.fieldmaps.io/cod/extended/jpn.gpkg.zip,https://data.fieldmaps.io/cod/extended/jpn.shp.zip,https://data.fieldmaps.io/cod/extended/jpn.xlsx,https://data.fieldmaps.io/cod/originals/jpn.gpkg.zip,https://data.fieldmaps.io/cod/originals/jpn.shp.zip,https://data.fieldmaps.io/cod/originals/jpn.xlsx
kaz,KAZ,Kazakhstan,Kazakhstan,2,2019-09-10,2019-09-10,Committee on Statistics (Kazakhstan Ministry of National Economy),OCHA ROCCA (Closed),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-kaz,https://data.fieldmaps.io/cod/extended/kaz.gpkg.zip,https://data.fieldmaps.io/cod/extended/kaz.shp.zip,https://data.fieldmaps.io/cod/extended/kaz.xlsx,https://data.fieldmaps.io/cod/originals/kaz.gpkg.zip,https://data.fieldmaps.io/cod/originals/kaz.shp.zip,https://data.fieldmaps.io/cod/originals/kaz.xlsx
ken,KEN,Kenya,Kenya,2,2018-07-03,2021-09-28,IEBC,OCHA Regional Office for Southern and Eastern Africa (ROSEA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-ken,https://data.fieldmaps.io/cod/extended/ken.gpkg.zip,https://data.fieldmaps.io/cod/extended/ken.shp.zip,https://data.fieldmaps.io/cod/extended/ken.xlsx,https://data.fieldmaps.io/cod/originals/ken.gpkg.zip,https://data.fieldmaps.io/cod/originals/ken.shp.zip,https://data.fieldmaps.io/cod/originals/ken.xlsx
kgz,KGZ,Kyrgyzstan,Kyrgyzstan,1,2018-11-21,2021-02-11,Ministry of Emergency Situations of the Kyrgyz Republic,OCHA ROCCA (Closed),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-kgz,https://data.fieldmaps.io/cod/extended/kgz.gpkg.zip,https://data.fieldmaps.io/cod/extended/kgz.shp.zip,https://data.fieldmaps.io/cod/extended/kgz.xlsx,https://data.fieldmaps.io/cod/originals/kgz.gpkg.zip,https://data.fieldmaps.io/cod/originals/kgz.shp.zip,https://data.fieldmaps.io/cod/originals/kgz.xlsx
khm,KHM,Cambodia,Cambodia,3,2014-10-14,2018-10-16,"Department of Geography of the Ministry of Land Management, Urbanization and Construction in 2008, WFP",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-khm,https://data.fieldmaps.io/cod/extended/khm.gpkg.zip,https://data.fieldmaps.io/cod/extended/khm.shp.zip,https://data.fieldmaps.io/cod/extended/khm.xlsx,https://data.fieldmaps.io/cod/originals/khm.gpkg.zip,https://data.fieldmaps.io/cod/originals/khm.shp.zip,https://data.fieldmaps.io/cod/originals/khm.xlsx
kir,KIR,Kiribati,Kiribati,2,2020-01-13,2020-01-13,"Secretariat of the Pacific Community, Statistics for Development Division (kiribati.popgis.spc.int)",OCHA Office of the Pacific Islands,Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-kir,https://data.fieldmaps.io/cod/extended/kir.gpkg.zip,https://data.fieldmaps.io/cod/extended/kir.shp.zip,https://data.fieldmaps.io/cod/extended/kir.xlsx,https://data.fieldmaps.io/cod/originals/kir.gpkg.zip,https://data.fieldmaps.io/cod/originals/kir.shp.zip,https://data.fieldmaps.io/cod/originals/kir.xlsx
kna,KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,1,2017-09-08,2020-03-19,www.gadm.org,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-kna,https://data.fieldmaps.io/cod/extended/kna.gpkg.zip,https://data.fieldmaps.io/cod/extended/kna.shp.zip,https://data.fieldmaps.io/cod/extended/kna.xlsx,https://data.fieldmaps.io/cod/originals/kna.gpkg.zip,https://data.fieldmaps.io/cod/originals/kna.shp.zip,https://data.fieldmaps.io/cod/originals/kna.xlsx
lao,LAO,Lao People's Democratic Republic,Lao People's Democratic Republic,2,2016-03-26,2019-11-27,National Geographic Department (NGD),OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-lao,https://data.fieldmaps.io/cod/extended/lao.gpkg.zip,https://data.fieldmaps.io/cod/extended/lao.shp.zip,https://data.fieldmaps.io/cod/extended/lao.xlsx,https://data.fieldmaps.io/cod/originals/lao.gpkg.zip,https://data.fieldmaps.io/cod/originals/lao.shp.zip,https://data.fieldmaps.io/cod/originals/lao.xlsx
lbn,LBN,Lebanon,Lebanon,3,2017-06-20,2021-09-28,Council for Development and Reconstruction (CDR) (administrative level 0-3); Open Street Map and Lebanese Arabic Institute (administrative level 4).,OCHA Middle East and North Africa (ROMENA),Other,https://data.humdata.org/dataset/cod-ab-lbn,https://data.fieldmaps.io/cod/extended/lbn.gpkg.zip,https://data.fieldmaps.io/cod/extended/lbn.shp.zip,https://data.fieldmaps.io/cod/extended/lbn.xlsx,https://data.fieldmaps.io/cod/originals/lbn.gpkg.zip,https://data.fieldmaps.io/cod/originals/lbn.shp.zip,https://data.fieldmaps.io/cod/originals/lbn.xlsx
lbr,LBR,Liberia,Liberia,2,2017-12-27,2022-03-23,UNMIL,OCHA West and Central Africa (ROWCA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-lbr,https://data.fieldmaps.io/cod/extended/lbr.gpkg.zip,https://data.fieldmaps.io/cod/extended/lbr.shp.zip,https://data.fieldmaps.io/cod/extended/lbr.xlsx,https://data.fieldmaps.io/cod/originals/lbr.gpkg.zip,https://data.fieldmaps.io/cod/originals/lbr.shp.zip,https://data.fieldmaps.io/cod/originals/lbr.xlsx
lby,LBY,Libya,Libya,2,2018-11-13,2021-12-31,"UNITAR-UNOSAT, Libyan Bureau of Statistics, WFP,  and Global Logistics Cluster, International Organisation for Migration (IOM)",OCHA Middle East and North Africa (ROMENA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-lby,https://data.fieldmaps.io/cod/extended/lby.gpkg.zip,https://data.fieldmaps.io/cod/extended/lby.shp.zip,https://data.fieldmaps.io/cod/extended/lby.xlsx,https://data.fieldmaps.io/cod/originals/lby.gpkg.zip,https://data.fieldmaps.io/cod/originals/lby.shp.zip,https://data.fieldmaps.io/cod/originals/lby.xlsx
lca,LCA,Saint Lucia,Saint Lucia,2,2019-05-01,2019-05-08,Department of Physical Planning,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-lca,https://data.fieldmaps.io/cod/extended/lca.gpkg.zip,https://data.fieldmaps.io/cod/extended/lca.shp.zip,https://data.fieldmaps.io/cod/extended/lca.xlsx,https://data.fieldmaps.io/cod/originals/lca.gpkg.zip,https://data.fieldmaps.io/cod/originals/lca.shp.zip,https://data.fieldmaps.io/cod/originals/lca.xlsx
lka,LKA,Sri Lanka,Sri Lanka,4,2019-04-09,2020-03-20,Survey Department of Sri Lanka (http://www.survey.gov.lk),OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-lka,https://data.fieldmaps.io/cod/extended/lka.gpkg.zip,https://data.fieldmaps.io/cod/extended/lka.shp.zip,https://data.fieldmaps.io/cod/extended/lka.xlsx,https://data.fieldmaps.io/cod/originals/lka.gpkg.zip,https://data.fieldmaps.io/cod/originals/lka.shp.zip,https://data.fieldmaps.io/cod/originals/lka.xlsx
lso,LSO,Lesotho,Lesotho,2,2019-01-08,2020-02-20,FAO and the Ministry of Local Government 2016,OCHA Regional Office for Southern and Eastern Africa (ROSEA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-lso,https://data.fieldmaps.io/cod/extended/lso.gpkg.zip,https://data.fieldmaps.io/cod/extended/lso.shp.zip,https://data.fieldmaps.io/cod/extended/lso.xlsx,https://data.fieldmaps.io/cod/originals/lso.gpkg.zip,https://data.fieldmaps.io/cod/originals/lso.shp.zip,https://data.fieldmaps.io/cod/originals/lso.xlsx
mar,MAR,Morocco,Morocco,2,2020-12-07,2020-12-07,UNHCR (from GAUL),OCHA Middle East and North Africa (ROMENA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-mar,https://data.fieldmaps.io/cod/extended/mar.gpkg.zip,https://data.fieldmaps.io/cod/extended/mar.shp.zip,https://data.fieldmaps.io/cod/extended/mar.xlsx,https://data.fieldmaps.io/cod/originals/mar.gpkg.zip,https://data.fieldmaps.io/cod/originals/mar.shp.zip,https://data.fieldmaps.io/cod/originals/mar.xlsx
mda,MDA,Republic of Moldova,Republic of Moldova,1,2019-09-06,2022-03-22,UNHCR,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-mda,https://data.fieldmaps.io/cod/extended/mda.gpkg.zip,https://data.fieldmaps.io/cod/extended/mda.shp.zip,https://data.fieldmaps.io/cod/extended/mda.xlsx,https://data.fieldmaps.io/cod/originals/mda.gpkg.zip,https://data.fieldmaps.io/cod/originals/mda.shp.zip,https://data.fieldmaps.io/cod/originals/mda.xlsx
mdg,MDG,Madagascar,Madagascar,4,2010-12-31,2020-02-20,Madagascar National Disaster Management Office (BNGRC),OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-mdg,https://data.fieldmaps.io/cod/extended/mdg.gpkg.zip,https://data.fieldmaps.io/cod/extended/mdg.shp.zip,https://data.fieldmaps.io/cod/extended/mdg.xlsx,https://data.fieldmaps.io/cod/originals/mdg.gpkg.zip,https://data.fieldmaps.io/cod/originals/mdg.shp.zip,https://data.fieldmaps.io/cod/originals/mdg.xlsx
mdv,MDV,Maldives,Maldives,3,2010-01-01,2021-03-31,Government of the republic of Maldives,OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-mdv,https://data.fieldmaps.io/cod/extended/mdv.gpkg.zip,https://data.fieldmaps.io/cod/extended/mdv.shp.zip,https://data.fieldmaps.io/cod/extended/mdv.xlsx,https://data.fieldmaps.io/cod/originals/mdv.gpkg.zip,https://data.fieldmaps.io/cod/originals/mdv.shp.zip,https://data.fieldmaps.io/cod/originals/mdv.xlsx
mex,MEX,Mexico,Mexico,2,2020-06-23,2021-06-23,Instituto Nacional de Estadística y Geografía (INEGI),OCHA Latin America and the Caribbean (ROLAC),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-mex,https://data.fieldmaps.io/cod/extended/mex.gpkg.zip,https://data.fieldmaps.io/cod/extended/mex.shp.zip,https://data.fieldmaps.io/cod/extended/mex.xlsx,https://data.fieldmaps.io/cod/originals/mex.gpkg.zip,https://data.fieldmaps.io/cod/originals/mex.shp.zip,https://data.fieldmaps.io/cod/originals/mex.xlsx
mhl,MHL,Marshall Islands,Marshall Islands,2,2018-07-18,2018-07-18,"Secretariat of the Pacific Community, Statistics for Development Division",OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-mhl,https://data.fieldmaps.io/cod/extended/mhl.gpkg.zip,https://data.fieldmaps.io/cod/extended/mhl.shp.zip,https://data.fieldmaps.io/cod/extended/mhl.xlsx,https://data.fieldmaps.io/cod/originals/mhl.gpkg.zip,https://data.fieldmaps.io/cod/originals/mhl.shp.zip,https://data.fieldmaps.io/cod/originals/mhl.xlsx
mli,MLI,Mali,Mali,3,2015-06-01,2021-12-23,DNCT - Direction Nationale des Collectivités Territoriales,OCHA Mali,Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-mli,https://data.fieldmaps.io/cod/extended/mli.gpkg.zip,https://data.fieldmaps.io/cod/extended/mli.shp.zip,https://data.fieldmaps.io/cod/extended/mli.xlsx,https://data.fieldmaps.io/cod/originals/mli.gpkg.zip,https://data.fieldmaps.io/cod/originals/mli.shp.zip,https://data.fieldmaps.io/cod/originals/mli.xlsx
mmr,MMR,Myanmar,Myanmar,3,2021-05-31,2021-08-04,Myanmar Information Management Unit (MIMU),Myanmar Information Management Unit (MIMU),Other,https://data.humdata.org/dataset/mimu-geonode-myanmar-township-boundaries-mimu,https://data.fieldmaps.io/cod/extended/mmr.gpkg.zip,https://data.fieldmaps.io/cod/extended/mmr.shp.zip,https://data.fieldmaps.io/cod/extended/mmr.xlsx,https://data.fieldmaps.io/cod/originals/mmr.gpkg.zip,https://data.fieldmaps.io/cod/originals/mmr.shp.zip,https://data.fieldmaps.io/cod/originals/mmr.xlsx
mng,MNG,Mongolia,Mongolia,2,2020-10-26,2021-02-11,National Statistical Office of Mongolia,OCHA Regional Office for Asia and the Pacific (ROAP),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-mng,https://data.fieldmaps.io/cod/extended/mng.gpkg.zip,https://data.fieldmaps.io/cod/extended/mng.shp.zip,https://data.fieldmaps.io/cod/extended/mng.xlsx,https://data.fieldmaps.io/cod/originals/mng.gpkg.zip,https://data.fieldmaps.io/cod/originals/mng.shp.zip,https://data.fieldmaps.io/cod/originals/mng.xlsx
moz,MOZ,Mozambique,Mozambique,3,2019-04-02,2021-03-24,"Mozambique INE (Instituto Nacional de Estatistica)   http://www.ine.gov.mz/  Census 2007 data from  WFP Geonode,  cleaned by UN OCHA ROSEA.  Maputo City districts added from SALB boundaries by OCHA. ",OCHA Regional Office for Southern and Eastern Africa (ROSEA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-moz,https://data.fieldmaps.io/cod/extended/moz.gpkg.zip,https://data.fieldmaps.io/cod/extended/moz.shp.zip,https://data.fieldmaps.io/cod/extended/moz.xlsx,https://data.fieldmaps.io/cod/originals/moz.gpkg.zip,https://data.fieldmaps.io/cod/originals/moz.shp.zip,https://data.fieldmaps.io/cod/originals/moz.xlsx
mrt,MRT,Mauritania,Mauritania,2,2017-08-09,2022-03-23,World Food Programme and OCHA,OCHA West and Central Africa (ROWCA),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-mrt,https://data.fieldmaps.io/cod/extended/mrt.gpkg.zip,https://data.fieldmaps.io/cod/extended/mrt.shp.zip,https://data.fieldmaps.io/cod/extended/mrt.xlsx,https://data.fieldmaps.io/cod/originals/mrt.gpkg.zip,https://data.fieldmaps.io/cod/originals/mrt.shp.zip,https://data.fieldmaps.io/cod/originals/mrt.xlsx
msr,MSR,Montserrat (UK),Montserrat,1,2017-09-09,2020-02-25,www.gadm.org,OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-msr,https://data.fieldmaps.io/cod/extended/msr.gpkg.zip,https://data.fieldmaps.io/cod/extended/msr.shp.zip,https://data.fieldmaps.io/cod/extended/msr.xlsx,https://data.fieldmaps.io/cod/originals/msr.gpkg.zip,https://data.fieldmaps.io/cod/originals/msr.shp.zip,https://data.fieldmaps.io/cod/originals/msr.xlsx
mtq,MTQ,Martinique (Fr.),Martinique,2,2017-09-09,2020-02-17,Institut national de l’information géographique et forestière (IGN),OCHA Field Information Services Section (FISS),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-mtq,https://data.fieldmaps.io/cod/extended/mtq.gpkg.zip,https://data.fieldmaps.io/cod/extended/mtq.shp.zip,https://data.fieldmaps.io/cod/extended/mtq.xlsx,https://data.fieldmaps.io/cod/originals/mtq.gpkg.zip,https://data.fieldmaps.io/cod/originals/mtq.shp.zip,https://data.fieldmaps.io/cod/originals/mtq.xlsx
mus,MUS,Mauritius,Mauritius,1,2020-08-09,2021-09-28,Statistics Mauritius,OCHA Latin America and the Caribbean (ROLAC),Creative Commons Attribution for Intergovernmental Organisations,https://data.humdata.org/dataset/cod-ab-mus,https://data.fieldmaps.io/cod/extended/mus.gpkg.zip,https://data.fieldmaps.io/cod/extended/mus.shp.zip,https://data.fieldmaps.io/cod/extended/mus.xlsx,https://data.fieldmaps.io/cod/originals/mus.gpkg.zip,https://data.fieldmaps.io/cod/originals/mus.shp.zip,https://data.fieldmaps.io/cod/originals/mus.xlsx
