qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,fra-Latn-r-pSKOS-pprefLabel-ps5002,hat-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,fra-Latn-r-pSKOS-pprefLabel-ps5001,hat-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,fra-Latn-r-pSKOS-pprefLabel-ps5000,hat-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:332:2:751,751,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:751,Chardonnieres,Chardonnières,,HT0751,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:752,752,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:752,Les Anglais,Les Anglais,,HT0752,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:753,753,1603:45:16:332:0,1603:45:16:332:1:7,1603:45:16:332:2:753,Tiburon,Tiburon,,HT0753,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:811,811,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:811,Jeremie,Jérémie,,HT0811,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:812,812,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:812,Abricots,Abricots,,HT0812,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:813,813,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:813,Bonbon,Bonbon,,HT0813,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:814,814,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:814,Moron,Moron,,HT0814,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:815,815,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:815,Chambellan,Chambellan,,HT0815,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:821,821,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:821,Anse d'Hainault,Anse d'Hainault,,HT0821,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:822,822,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:822,Dame Marie,Dame Marie,,HT0822,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:823,823,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:823,Les Irois,Les Irois,,HT0823,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:831,831,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:831,Corail,Corail,,HT0831,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:832,832,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:832,Roseaux,Roseaux,,HT0832,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:833,833,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:833,Beaumont,Beaumont,,HT0833,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:834,834,1603:45:16:332:0,1603:45:16:332:1:8,1603:45:16:332:2:834,Pestel,Pestel,,HT0834,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:911,911,1603:45:16:332:0,1603:45:16:332:1:9,1603:45:16:332:2:911,Port-de-Paix,Port-de-Paix,,HT0911,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:912,912,1603:45:16:332:0,1603:45:16:332:1:9,1603:45:16:332:2:912,La Tortue,La Tortue,,HT0912,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:913,913,1603:45:16:332:0,1603:45:16:332:1:9,1603:45:16:332:2:913,Bassin Bleu,Bassin Bleu,,HT0913,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:914,914,1603:45:16:332:0,1603:45:16:332:1:9,1603:45:16:332:2:914,Chamsolme,Chamsolme,,HT0914,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:921,921,1603:45:16:332:0,1603:45:16:332:1:9,1603:45:16:332:2:921,Saint-Louis du Nord,Saint-Louis du Nord,,HT0921,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:922,922,1603:45:16:332:0,1603:45:16:332:1:9,1603:45:16:332:2:922,Anse-a-Foleur,Anse-à-Foleur,,HT0922,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:931,931,1603:45:16:332:0,1603:45:16:332:1:9,1603:45:16:332:2:931,Mole Saint Nicolas,Môle Saint Nicolas,,HT0931,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:932,932,1603:45:16:332:0,1603:45:16:332:1:9,1603:45:16:332:2:932,Baie de Henne,Baie de Henne,,HT0932,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:933,933,1603:45:16:332:0,1603:45:16:332:1:9,1603:45:16:332:2:933,Bombardopolis,Bombardopolis,,HT0933,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:934,934,1603:45:16:332:0,1603:45:16:332:1:9,1603:45:16:332:2:934,Jean Rabel,Jean Rabel,,HT0934,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:1011,1011,1603:45:16:332:0,1603:45:16:332:1:10,1603:45:16:332:2:1011,Miragoane,Miragoâne,,HT1011,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:1012,1012,1603:45:16:332:0,1603:45:16:332:1:10,1603:45:16:332:2:1012,Petite Riviere de Nippes,Petite Rivière de Nippes,,HT1012,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:1013,1013,1603:45:16:332:0,1603:45:16:332:1:10,1603:45:16:332:2:1013,Fonds des Negres,Fonds des Nègres,,HT1013,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:1014,1014,1603:45:16:332:0,1603:45:16:332:1:10,1603:45:16:332:2:1014,Paillant,Paillant,,HT1014,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:1021,1021,1603:45:16:332:0,1603:45:16:332:1:10,1603:45:16:332:2:1021,Anse-a-Veau,Anse-à-Veau,,HT1021,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:1022,1022,1603:45:16:332:0,1603:45:16:332:1:10,1603:45:16:332:2:1022,Petit Trou de Nippes,Petit Trou de Nippes,,HT1022,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:1023,1023,1603:45:16:332:0,1603:45:16:332:1:10,1603:45:16:332:2:1023,L'Asile,L'Asile,,HT1023,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:1024,1024,1603:45:16:332:0,1603:45:16:332:1:10,1603:45:16:332:2:1024,Arnaud,Arnaud,,HT1024,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:1025,1025,1603:45:16:332:0,1603:45:16:332:1:10,1603:45:16:332:2:1025,Plaisance du Sud,Plaisance du Sud,,HT1025,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:1031,1031,1603:45:16:332:0,1603:45:16:332:1:10,1603:45:16:332:2:1031,Baraderes,Baradères,,HT1031,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:1032,1032,1603:45:16:332:0,1603:45:16:332:1:10,1603:45:16:332:2:1032,Grand-Boucan,Grand-Boucan,,HT1032,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
