,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#item+conceptum+codicem,#item+rem+i_ara+is_arab,#item+rem+i_hye+is_armn,#item+rem+i_ben+is_beng,#item+rem+i_rus+is_cyrl,#item+rem+i_hin+is_deva,#item+rem+i_grc+is_grek,#item+rem+i_kan+is_knda,#item+rem+i_kor+is_hang,#item+rem+i_lzh+is_hant,#item+rem+i_heb+is_hebr,#item+rem+i_lat+is_latn,#item+rem+i_tam+is_taml,#item+rem+i_tel+is_telu,#item+rem+i_tha+is_thai,#item+rem+i_san+is_zzzz,#item+rem+i_zho+is_zzzz,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn,#item+rem+i_nld+is_latn,#item+rem+i_deu+is_latn,#item+rem+i_spa+is_latn,#item+rem+i_ita+is_latn,#item+rem+i_gle+is_latn,#item+rem+i_swe+is_latn,#item+rem+i_ceb+is_latn,#item+rem+i_sqi+is_latn,#item+rem+i_pol+is_latn,#item+rem+i_fin+is_latn,#item+rem+i_ron+is_latn,#item+rem+i_vie+is_latn,#item+rem+i_cat+is_latn,#item+rem+i_ukr+is_cyrl,#item+rem+i_bul+is_cyrl,#item+rem+i_slv+is_latn,#item+rem+i_war+is_latn,#item+rem+i_nob+is_latn,#item+rem+i_ces+is_latn,#item+rem+i_dan+is_latn,#item+rem+i_jpn+is_jpan,#item+rem+i_nno+is_latn,#item+rem+i_mal+is_mlym,#item+rem+i_ind+is_latn,#item+rem+i_fas+is_zzzz,#item+rem+i_hun+is_latn,#item+rem+i_eus+is_latn,#item+rem+i_cym+is_latn,#item+rem+i_glg+is_latn,#item+rem+i_slk+is_latn,#item+rem+i_epo+is_latn,#item+rem+i_msa+is_zzzz,#item+rem+i_est+is_latn,#item+rem+i_hrv+is_latn,#item+rem+i_tur+is_latn,#item+rem+i_nds+is_latn,#item+rem+i_oci+is_latn,#item+rem+i_zho+is_hans,#item+rem+i_bre+is_latn,#item+rem+i_arz+is_latn,#item+rem+i_afr+is_latn,#item+rem+i_ltz+is_latn,#item+rem+i_sco+is_latn,#item+rem+i_bar+is_latn,#item+rem+i_arg+is_latn,#item+rem+i_zho+is_hant,#item+rem+i_pap+is_latn,#item+rem+i_cos+is_latn,#item+rem+i_gsw+is_latn,#item+rem+i_isl+is_latn,#item+rem+i_min+is_latn,#item+rem+i_roh+is_latn,#item+rem+i_vec+is_latn,#item+rem+i_pms+is_latn,#item+rem+i_scn+is_latn,#item+rem+i_srd+is_latn,#item+rem+i_gla+is_latn,#item+rem+i_lim+is_latn,#item+rem+i_wln+is_latn,#item+rem+i_srp+is_latn,#item+rem+i_vls+is_latn,#item+rem+i_nap+is_latn,#item+rem+i_lij+is_latn,#item+rem+i_fur+is_latn,#item+rem+i_pcd+is_latn,#item+rem+i_wol+is_latn,#item+rem+i_kon+is_latn,#item+rem+i_frp+is_latn,#item+rem+i_wuu+is_zyyy,#item+rem+i_srp+is_cyrl,#item+rem+i_urd+is_arab,#item+rem+i_gan+is_zyyy,#item+rem+i_lit+is_latn,#item+rem+i_gan+is_hans,#item+rem+i_hbs+is_latn,#item+rem+i_lav+is_latn,#item+rem+i_bos+is_latn,#item+rem+i_srn+is_latn,#item+rem+i_azb+is_arab,#item+rem+i_jav+is_latn,#item+rem+i_ell+is_grek,#item+rem+i_sun+is_latn,#item+rem+i_fry+is_latn,#item+rem+i_ace+is_latn,#item+rem+i_jam+is_latn,#item+rem+i_che+is_cyrl,#item+rem+i_bel+is_cyrl,#item+rem+i_kab+is_latn,#item+rem+i_fao+is_latn,#item+rem+i_vmf+is_latn,#item+rem+i_bam+is_zzzz,#item+rem+i_frc+is_latn,#item+rem+i_prg+is_latn,#item+rem+i_lmo+is_latn,#item+rem+i_mar+is_deva,#item+rem+i_vol+is_latn,#item+rem+i_ina+is_latn,#item+rem+i_ile+is_latn,#item+rem+i_zul+is_latn,#item+rem+i_mul+is_zxxx,#item+rem+i_und+is_zxxx,#item+rem+i_zxx+is_zxxx
Q192628,لحم بقري,Տավարի միս,গরুর মাংস,говядина,गाय का मांस,,,쇠고기,,בשר בקר,būbula,மாட்டிறைச்சி,,เนื้อวัว,,牛肉,carne bovina,beef,viande bovine,rundvlees,Rindfleisch,carne de res,manzo,mairteoil,nötkött,,mish lope,wołowina,naudanliha,vită,thịt bò,carn de bou,Яловичина,Говеждо месо,govedina,,storfekjøtt,hovězí maso,oksekød,牛肉,storfekjøt,മാട്ടിറച്ചി,daging sapi,گوشت گاو,marhahús,Behiki,cig eidion,Carne bovina,Hovädzie mäso,bovaĵo,Daging lembu,veiseliha,,dana eti,,buòu,,kig bevin,,Beesvleis,,,,,牛肉,,,,nautakjöt,,charn-bov,manzo,,,,mairtfheòil,,,govedina,,,,,,,,,牛肉,говедина,,,Jautiena,,говедина,liellopa gaļa,,,,Pérangan daging sapi,μοσχαρίσιο κρέας,,,,Biif,,Ялавічына,,,,,,,,,bubamit,,,,,,
Q204015,تبرز,դեֆեկացիա,মলত্যাগ,дефекация,अपमलन,,,배변,,הפרשת צואה,,மலம் கழித்தல்,,การถ่ายอุจจาระ,,排便,defecação,defecation,défécation,defecatie,Stuhlgang,defecación,defecazione,Dífhaecú,,,Jashtëqitja,Defekacja,Ulostaminen,Defecație,Đại tiện,defecació,дефекація,Дефекация,,Uru,defekasjon,defekace,afføring,排便,avføring,,buang air besar,دفع مدفوع,ürítés,Kaka egite,,Defecación,Defekácia,fekado,,Roojamine,Pražnjenje crijeva,Dışkılama,,,,Kac'hat,,,,,Scheißn,,排便,,,,,,,,,,,,,,Pražnjenje stolice,,,,,,,,,拆污,Пражњење столице,,,Tuštinimasis,,Defekacija,Izkārnīšanās,Defekacija,,,ngising,αφόδευση,,,,,,дэфекацыя,,,,,,,Cagà,,,,,,,,
Q216054,ضمادة لاصقة,,,Пластырь,,,,반창고,,אגד מדבק,,,,แถบปิดแผล,,创可贴,penso-rápido,adhesive bandage,pansement,pleister,Wundschnellverband,tira adhesiva sanitaria,cerotto,,plåster,,,Plaster,Laastari,Plasture,Băng keo cá nhân,tireta,пластир,,Samolepilni obliž,Mapilit nga pantabon hin samad,Plaster,náplast,plaster,絆創膏,Plaster,,Plester,چسب زخم,sebtapasz,,,,náplasť,plastro,plaster,Plaaster,,Yapışkan bandaj,,,,,,,,,,,OK繃,,,,,,,,,,,Plastair,,,,,,,,,,,,,Фластер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q216997,كأس الحيض,,,менструальная чашечка,,,ಮುಟ್ಟಿನ ಕಪ್,생리컵,,גביעונית,,மாதவிடாய் குப்பி,,,,月经杯,coletor menstrual,menstrual cup,coupe menstruelle,Menstruatiecup,Menstruationstasse,copa menstrual,Coppa mestruale,,Menskopp,,,Miseczka menstruacyjna,Kuukautiskuppi,Cupă menstruală,Cốc nguyệt san,copa menstrual,менструальна чаша,Менструална чашка,Menstrualna skodelica,,Damebeger,Menstruační kalíšek,Menstruationsbæger,月経カップ,,ആർത്തവരക്ത ശേഖരണി,Cangkir menstruasi,فنجان قاعدگی,Menstruációs csésze,,Cwpan mislif,Copa menstrual,Menštruačný pohárik,menstrua taso,Cangkir haid,,Menstrualna čašica,Regl kabı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menstruacinė taurelė,,Menstrualna čašica,,,,,Cangkir menstruasi,,,,,,,,,,,,,,,,,,,,,,
Q235693,فوط صحية,Միջադիր,স্যানিটারি ন্যাপকিন,гигиеническая прокладка,सेनेटरी नैपकिन,,ಮುಟ್ಟಿನ ಬಟ್ಟೆ,생리대,,תחבושת היגיינית,,விடாய்க்கால அணையாடை,,ผ้าอนามัย,,衛生棉,penso higiénico,sanitary napkin,serviette hygiénique,Maandverband,Damenbinde,Toalla sanitaria,assorbente igienico,,Dambinda,,,Podpaska,Terveysside,Șervețel sanitar,Băng vệ sinh,compresa,гігієнічна прокладка,Дамска превръзка,,,Sanitetsbind,menstruační vložka,Hygiejnebind,ナプキン,,സാനിറ്ററി നാപ്കിൻ,Pembalut wanita,نوار بهداشتی,egészségügyi betét,Babeski,Clwt mislif,Compresa,menštruačná vložka,menstrua tuko,Tuala wanita,,Higijenski uložak,Hijyenik ped,,,,,,,,,Schuastabindn,,衛生棉,,,,Dömubindi,,,,,,,,,,,,,,,,,,,,,ماہواری کے پیڈ,,,,,,,,,Pambalut wanita,,,,,,,,,,,,,,Patell sanitari,सॅनिटरी नॅपकीन,,,,,,,
Q274493,مطهر,Անտիսեպտիկա,পচন নিবারক,антисептики,पूतिरोधी,,,살균제,,,,புரைய எதிர்ப்பிகள்,,,,消毒藥水,antisséptico,antiseptic,antiseptique,Antisepticum,Antiseptikum,antiséptico,antisettico,Antaiseipteán,antiseptika,,,Antyseptyka,Antiseptiikka,Antiseptic,Thuốc tẩy trùng,antisèptic,антисептики,Антисептика,Antiseptik,,antiseptisk,antiseptikum,Antiseptisk,殺菌剤,antiseptikum,,Antiseptik,گندزدا,,Antiseptiko,,,Antiseptikum,Antisepso,Antiseptik,Antiseptik,,Antiseptik,,,,,,,,antiseptic,Antiseptisch,,殺菌劑,,,,,,,,,,,,,,antiseptik,,,,,,,,,,антисептик,,,,,Antisepsa,,,,,Antisèptik,αντισηπτικό,Antiséptik,,,,,антысептыкі,,,,,,,,,,,,,,,
Q275419,انخفاض ضغط الدم,Հիպոտոնիա,নিম্ন রক্তচাপ,Артериальная гипотензия,निम्न रक्तचाप,,,저혈압,,תת לחץ דם,,,,ความดันโลหิตต่ำ,,低血壓,hipotensão arterial,hypotension,hypotension artérielle,hypotensie,arterielle Hypotonie,hipotensión,ipotensione,,hypotoni,,Hipotensioni,hipotensja,hypotensio,Hipotensiune,huyết áp thấp,hipotensió arterial,артеріальна гіпотензія,Хипотония,hipotenzija,,hypotensjon,hypotenze,,低血圧,hypotensjon,,Tekanan darah rendah,فشار خون پایین,,Hipotentsio,isbwysedd,Hipotensión,,hipotensio,,Hüpotensioon,Hipotenzija,Düşük tansiyon,,,,,,,,,,,低血壓,,,,,,,,,,,,,,Hipotenzija,,,,,,,,,,хипотензија,,,,,Hipotenzija,hipotensija,Hipotenzija,,,,Υπόταση,,,,,,Гіпатанія,,,,,,,,,,,,,,,
Q275792,محلول ملحي,,,Изотонические растворы,,,,생리식염수,,תמיסת מלח,,,,น้ำเกลือ,,生理盐水,soro fisiológico,saline solution,solution physiologique,fysiologische zoutoplossing,isotonische Kochsalzlösung,suero fisiológico,soluzione fisiologica,,Fysiologisk saltlösning,,Solucionet fiziologjike,płyn fizjologiczny,Fysiologinen suolaliuos,,nước muối sinh lý,sèrum fisiològic,фізіологічний розчин,Физиологичен разтвор,Fiziološka raztopina,,isoton saltvannsløsning,fyziologický roztok,,食塩液,saltvassløysning,സലൈൻ (മരുന്ന്),Larutan garam fisiologi,سرم نرمال سالین,Fiziológiás oldat,disoluzio isotoniko,,Soro fisiolóxico,Fyziologický roztok,fiziologia solvaĵo,,Füsioloogiline lahus,,Salin,,,,,,,,,,,生理鹽水,,,,,,,,,,,,,,Fiziološki rastvor,,,,,,,,,,Физиолошки раствор,,,,,Fiziološki rastvor,,,,,,αλατούχο διάλυμα,,,,,,Ізатанічныя растворы,,,,,,,,,,,,,,,
Q324089,مضاد الهستامين,Հակահիստամինային դեղեր,এন্টিহিস্টামিন,антигистаминный препарат,,,,항히스타민제,,אנטיהיסטמין,,,,สารต้านฮิสทามีน,,抗組織胺藥,anti-histamínico,histamine antagonist,antihistaminique,antihistaminicum,Antihistaminikum,antihistamínico,antistaminico,Frith-hiostaimín,Antihistamin,,,lek przeciwhistaminowy,Antihistamiini,Antihistaminic,Thuốc kháng histamin,antihistamínic,антигістамінні препарати,,Antihistaminik,,Antihistamin,antihistaminikum,Antihistamin,抗ヒスタミン薬,antihistamin,,Antihistamin,آنتیهیستامین,,antihistaminiko,Antagonist histamine,,Antihistaminikum,,,,Antihistaminik,Antihistaminik,,,,,,,,,,,抗組織胺藥,,,,,,,,,,,,,,Antihistaminik,,,,,,,,,,Антихистаминик,اینٹی ہسٹامائین,,,,Antihistamin,,,,,,αντιϊσταμινικά,,,,,,Процігістамінныя сродкі,,,,,,,,,,,,,,,
Q371213,بيديه,,,Биде,,,,비데,,בידה,,,,โถชำระ,,坐浴桶,bidé,bidet,bidet,bidet,Bidet,bidé,bidet,,Bidé,,,bidet,Bidee,,Bidet,bidet,Біде,,,,bidé,Bidet,,ビデ,bide,,Bidet,بیده,Bidé,Bidet,,Bidé,Bidet,Bideo,,,,Bide,,,,,,,Bidet,,,,坐浴桶,,,,,,,,,,,,,,Bide,,,,,,,,,,Биде,,,,,,,,,,,μπιντές,,,,,,,,,,,,,Bidet,,,,,,,,
Q376724,ضمادة,բինտ,,бинт,पट्टी,,,붕대,,תחבושת,,,,,,繃帶,ligadura,bandage,bandage,zwachtel,Bandage,vendaje,fasciatura,,bandage,,,Bandaż,kääre,Bandaj,Băng vết thương,embenat,Бинт,,Bandaža,,,obvaz,bandage,包帯,Bandasje,ബാൻഡേജ്,,بانداژ,,Lotura,,,,Bandaĝo,,,,Sargı bezi,,,,,,,,,,,繃帶,,,,,,,,,,,,,,,,,,,,,,,,Завој,,,,,Zavoj,,,,,,,,,,,,Бінт,,,,,,,,,,,,,,,
Q427017,مضخة الثدي,,,Молокоотсос,स्तन-पम्प,,,유축기,,משאבת הנקה,,,రొమ్ము పంపు,,,吸乳器,bomba tira leite,breast pump,Tire-lait,Borstkolf,Muttermilchpumpe,Sacaleches,tiralatte,,Bröstpump,,,Laktator,,,,tirallet,,,,,,Odsávačka mateřského mléka,,搾乳器,,,Pompa ASI,شیردوش,,Esne-ateratzeko,,Tiraleite,,Mampumpilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,پستان کا پمپ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q474187,عطش,Ծարավ,,Жажда,प्यास्,,ಬಾಯಾರಿಕೆ,목마름,,צמא,sitis,தாகம்,దాహము,ความกระหาย,तृषित,口渴,sede,thirst,soif,dorst,Durst,sed,sete,,Törst,,Etje,pragnienie,jano,Sete,Cơn khát,set,спрага,Жажда,,,,Žízeň,tørst,渇き,torste,ദാഹം,Haus,تشنگی,szomjúság,Egarri,,,Smäd,soifo,,Janu,Žeđ,Susamak,Döst,Set,,,,,,,,,口渴,,,,,,,,,,,,,,,,,,,,,,,口渴,Žeđ,,,,,,,,,,,Δίψα,Hanaang,,,,,Смага,Fad,,,,,,,,,,,,,,
Q484807,,,,анальная гигиена,गुद स्वच्छता,,,,,,,,,,,清洗肛門,,anal cleansing,nettoyage anal,,Analhygiene,,,,,,,,,,,,,,,,,anální hygiena,,,,,Cebok,,,,,,,purigado de anuso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Πρωκτική υγιεινή,,,,,,,,,,,,,,,,,,,,,
Q523536,ضماد,վիրակապ,,Повязка,dressing,,,드레싱,,חבישה,,,,,,敷料,curativo,dressing,mèche,verband,Verband,Apósito,medicazione,,,,,Opatrunek,,pansament,,apòsit,Перев'язка,,,,sårbandasje,obvaz,,ドレッシング材,sårbandasje,,,پانسمان,,Apositu,,,,,,,,Pansuman,,,,,,,,,,,,,,,,,,medegasion,,,,,,,,,,,,,,,,,Савремене облоге за ране,,,,,Savremene obloge za rane,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q576179,حساسية البيض,,,,,,,달걀 알레르기,,אלרגיה לביצים,,,,,,對雞蛋過敏,,egg allergy,allergie à l'œuf,eierallergie,Eiallergie,alergia al huevo,allergia alle uova,,Äggallergi,,,,,,Dị ứng trứng,al·lèrgia a l'ou,,,,,eggallergi,,,卵アレルギー,,,Alergi telur,,tojásallergia,,,,,alergio al ovo,alahan telur,,,,,,,,,,,,,,,,,,,Alergi talua,,,,,,,,,,,,,,,,,,,алергија на јаја,,,,,,,,,,Alérgi endhog,,Alérgi endog,,,,,,,,,,,,,,,,,,,,
Q769815,حساسية الطعام,Սննդային ալերգիա,খাদ্যে অ্যালার্জি,пищевая аллергия,,,,식품 알레르기,,אלרגיה למזון,,,,ภูมิแพ้อาหาร,,食物過敏,alergia alimentar,food allergy,allergie alimentaire,voedselallergie,Nahrungsmittelallergie,alergia a alimentos,allergia alimentare,Ailléirge bia,födoämnesöverkänslighet,,,alergia pokarmowa,ruoka-aineallergia,,dị ứng thực phẩm,al·lèrgia als aliments,Харчова алергія,,Alergija na hrano,,IgE-basert matintoleranse,potravinová alergie,fødevareallergi,食物アレルギー,matallergi,,Alergi makanan,حساسیت غذایی,ételallergia,janari-alergia,alergedd bwyd,Alerxia alimentaria,potravinová alergia,manĝaĵa alergio,alahan makanan,Toiduallergia,Alergija od hrane,,,,,,,,,,,,食物過敏,,,,Matarofnæmi,,,,,,,,,,,,,,,,,,,,алергија на храну,,,,,Alergija na hranu,pārtikas alerģija,,,,,Τροφική αλλεργία,,,,,,,,,,,,,,,,,,,,,
Q797971,طعام الطفل,մանկական սնունդ,,детская смесь,,,,영유아식,,מזון לתינוקות,,,,,,嬰兒食品,,baby food,nourriture pour bébé,babyvoeding,Babynahrung,,alimentazione per l'infanzia,,barnmat,,,,lastenruoka,,,aliments infantils,,,,pagkaon panminasus-an,barnemat,,barnemad,ベビーフード,,,,غذای کودک,,,,,,beba manĝaĵo,,,,bebek maması,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,panganan bayi,,,,,,,,,,,,,,,,,,,Ukudla kwabantwana,,,
Q815867,عدة إسعافات أولية,Դեղարկղիկներ,প্রাথমিক চিকিৎসা বাক্স,Аптечка,प्राथमिक चिकित्सा किट,,ಪ್ರಥಮ ಚಿಕಿತ್ಸಾ ಕಿಟ್,구급 상자,,ערכת עזרה ראשונה,,முதலுதவி கருவிப் பெட்டி,ప్రథమ చికిత్స వస్తు సామగ్రి,ชุดปฐมพยาบาล,,急救包,kit de primeiros socorros,first aid kit,trousse de secours,EHBO-koffer,Verbandkasten,botiquín,kit di pronto soccorso,,Första hjälpen för resenärer,,,Apteczka,Ensiapulaukku,,,farmaciola,аптечка,,Prva pomoč za policijo,,,lékárnička,,救急箱,,,,جعبه کمکهای اولیه,,Botika-kutxa,,,,Sukurkesto,Peti pertolongan cemas,,,İlk yardım kiti,,,,,,,,,,,急救包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q957434,بتلو,,বাছুরের মাংস,телятина,,,,송아지고기,,עגל,vitulina,,,,,小牛肉,vitela,veal,veau,kalfsvlees,Kalbfleisch,carne de ternera,vitello,laofheoil,kalvkött,,mish viçi,cielęcina,vasikanliha,carne de vițel,Thịt bê,carn de vedella,телятина,Телешко месо,,,kalvekjøtt,telecí maso,kalvekød,仔牛肉,kalvekjøt,വീൽ,daging sapi muda,وییل,borjúhús,txahala,cig llo,Vitela,teľacie mäso,bovidaĵo,Daging anak lembu,vasikaliha,Teletina,Dana eti,,,,Kig leue,,,Kalleffleesch,,,,,,,,kálfskjöt,,,vedeło,,,,feòil-laoigh,,,teletina,,,,,,,,,,телетина,,,veršiena,,телетина,,,,,Daging sapi enom,μοσχάρι,,keallefleis,,,,,,,,,,,,,bubülamit,,,,,,
Q976338,سدادة قطنية,Տամպոն,,тампон гинекологический,तंपन,,,탐폰,,טמפון,Obturaculum bibulum,பஞ்சுத்தக்கை,,,,衛生棉條,tampão,tampon,tampon hygiénique,tampon,Tampon,tampón higiénico,,Súitín,Tampong,,,Tampon,Tamponi,Tampon,Băng vệ sinh dạng ống,tampó,тампон гінекологічний,,,,tampong,tampon,,タンポン,,,Tampon,تامپون,Tampon,,Tampon,Tampón hixiénico,,tampono,,,Tampon,Tampon,,,,,,,,,,,,,,Tampon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tampon,Ταμπόν,,,,,,,,,,,,,,,,,,,,,
Q1500138,نباتيو الأسماك,,,пескетарианство,,,,,,פסקטריאניזם,,,,,,鱼素者,Pescetarianismo,pescetarianism,pescétarisme,pescotarisme,Pescetarismus,Semivegetarianismo,pescetarianismo,,Pescetarianism,,,peskatarianizm,Pescovegetarismi,,,,Пескетаріанство,,,,Pescetarianisme,Pescovegetariánství,Pescetarisme,ペスカタリアニズム,,പെസറ്റേറിയനിസം,,ماهیخواری,,,,,,Fiŝ-vegetarismo,,,,Pesketaryenlik,,,,,,,,,,,魚素者,,,,,,,,,,,,,,,,,,,,,,,,Пескетаријанство,,,,,,peskoveģetārisms,,,,Pescetarian,,,,,,,,,,,,,,,,,,,,,,
Q2287198,حليب الأطفال الصناعي,Կաթնախառնուրդներ,,Молочная смесь,,,,조제분유,,תרכובת מזון לתינוקות,,,,,,配方奶粉,fórmula infantil,infant formula,substitut du lait maternel,Flesvoeding,,leche maternizada,latte artificiale,,modersmjölksersättning,,,Karmienie sztuczne,Äidinmaidonkorvike,,Sữa công thức,llet maternitzada,,,,,morsmelkerstatning,,modermælkserstatning,粉ミルク,,,Susu Formula,شیر خشک,,,,,,artefarita lakto,,Imikute piimasegud,,Bebek formülü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Susu formula,,,,,,,,,,,,,,,,,,,,,,
Q2296872,لحم الغزال,,,оленина,,,,사슴고기,,,,,,,,鹿肉,,venison,viande de cerf,hertevlees,Hirschfleisch,Carne de venado,carne di cervo,fiafheoil,hjortkött,,,mięso z jeleniowatych,peuranliha,,Thịt nai,carn de cérvol,оленина,,,,,zvěřina,,鹿肉,,,Daging rusa,گوشت گوزن,,Orein-okela,cig carw,,,,,,,,,,,,,Wildsvleis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Месо дивљачи,,,Elniena,,,,,,,Daging rusa,,,,,,,,,,,,,,,,,,,,,,
Q2349446,قائمة الحميات الغذائية,,,,,,,,,,,,,,,,,list of diets,pratique alimentaire,Lijst van diëten,,,,,,,,lista diet,,,,,,,,,,,,食餌療法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2514555,,,বদনা,,लोटा,,,,,,,,,,,,,Lota (vessel),,,,,Lota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,لوٹا,,,,,,,,,,λοτά,,,,,,,,,,,,,,,,,,,,,
Q2602563,التغذية البشرية,,,,,,ಆಹಾರ ಪದ್ಧತಿ,,,תזונה אנושית,,Human Nutrition,,,jgigigjijgj,人類營養,nutrição humana,human nutrition,alimentation humaine,Voedingsmiddel,Ernährung des Menschen,nutrición humana,nutrizione umana,,,,,żywienie człowieka,,Nutriția oamenilor,Ăn uống lành mạnh,Alimentació humana,харчування людини,,,,,lidská výživa,,栄養学,humanernæring,vitamin,Gizi manusia,خوراک انسان,Emberi táplálkozás,,maeth dynol,,,homa nutrado,Pemakanan manusia,,,,,,,,,,,,,,,,,,,,,nutrision umana,,,,,,,Ljudska ishrana,,,,,,,,,,Ljudska ishrana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2679660,الشطاف الصحي,,,Гигиенический душ,,,,,,,,,,ฝักบัวล้างก้น,,如厠後沖洗器,,bidet shower,,,,,Doccetta igienica,,,,,,käsisuihku,,Vòi xịt vệ sinh,,,,,,,,,ビデ・シャワー,,,Shower toilet,,,,,,,neceseja duŝo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ντους μπιντέ,,,,,,,,,,,,,,,,,,,,,
Q3025883,سكري النوع الثاني,2-րդ տիպի շաքարային դիաբետ,টাইপ ২ ডায়াবেটিস,Сахарный диабет 2-го типа,मधुमेह टाइप 2,,ಮಧುಮೇಹ ಮೆಲ್ಲಿಟಸ್ 2ನೇ ವಿಧ,제2형 당뇨병,,סוכרת מסוג 2,,நீரிழிவு நோய் (இரண்டாவது வகை),మధుమేహము రకం 2,เบาหวานชนิดที่ 2,,2型糖尿病,diabetes mellitus tipo 2,type 2 diabetes,diabète de type 2,diabetes type 2,Diabetes Typ II,diabetes mellitus tipo 2,diabete mellito di tipo 2,,typ 2-diabetes,,Diabetes mellitus tip II,Cukrzyca typu 2,tyypin 2 diabetes,Diabet zaharat de tipul 2,Tiểu đường loại 2,diabetis mellitus tipus 2,Цукровий діабет 2-го типу,Захарен диабет тип 2,Sladkorna bolezen tipa 2,,,diabetes mellitus 2. typu,Diabetes mellitus type 2,2型糖尿病,diabetes mellitus type 2,,Diabetes melitus tipe 2,دیابت نوع ۲,,2 motako diabetes mellitus,,,,duatipa sukera diabeto,Diabetis melitus jenis 2,II tüüpi diabeet,Šećerna bolest tip 2,Tip 2 diabetes mellitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,дијабетес мелитус тип 2,قسم-۲ ذیابیطس,,,,Dijabetes melitus tip 2,,,,,,Σακχαρώδης διαβήτης τύπου 2,,,,,,,,,,,,,,,,,,,,,
Q3083164,,,,предмет женской гигиены,स्त्री स्वच्छता,,,,,היגיינה נשית,,,,,,女性生理用品,Higiene feminina,feminine hygiene,protection hygiénique,,Monatshygiene,,,,mensskydd,,,,,,sản phẩm vệ sinh nữ giới,,,,,,,,Hygiejnebind,生理処理用品,,,,محصولات بهداشتی زنانه,,,,,,menstruoŝirmilo,Kebersihan kesihatan wanita,,,Kadın hijyeni,,,,,,,,,,,女性生理用品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3496076,نباتيو الألبان,,,,,,,,,לקטו-צמחונות,,,,,,奶素主義,lactovegetarianismo,lacto vegetarianism,lacto-végétarisme,,,lactovegetarianismo,latto-vegetarianismo,,,,,Laktowegetarianizm,,Lacto vegetarianism,,lactovegetarianisme,Лактовегетаріанство,,,,Laktovegetarianer,Laktovegetariánství,,,,,,,,,,,,laktovegetarismo,,,,,,,,,,,Laktovegetabil Ernierung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Γαλακτοχορτοφαγία,,,,,,,,,,,,,,,,,,,,,
Q8084905,مرض مناعي ذاتي,աուտոիմունային հիվանդություններ,স্বতঃঅনাক্রম্য রোগ,аутоиммунные заболевания,स्वप्रतिरक्षित रोग,,,자가면역질환,,מחלה אוטואימונית,Morbus autoimmunitatis,தன்னுடல் தாக்குநோய்,,โรคภูมิต้านตนเอง,,自體免疫性疾病,doença autoimune,autoimmune disease,maladie auto-immune,auto-immuunziekte,Autoimmunerkrankung,enfermedad autoinmune,malattia autoimmune,Galair uathimdhíonachta,,,,choroby autoimmunologiczne,autoimmuunisairaus,Boală autoimună,bệnh tự miễn dịch,malaltia autoimmunitària,автоімунні захворювання,Автоимунно заболяване,Avtoimunska bolezen,,autoimmun sykdom,autoimunitní onemocnění,autoimmun sygdom,自己免疫疾患,autoimmun sjukdom,,Penyakit autoimun,بیماری خودایمنی,Autoimmun betegség,Gaixotasun autoimmune,clefyd hunanimíwn,Enfermidade autoinmune,Autoimunitná choroba,memimuna malsano,Penyakit autoimun,autoimmuunhaigus,autoimuna bolest,Otoimmün hastalık,,,,,,,,,,,,,,,Sjálfsofnæmissjúkdómur,,,,,,,,,,,,,,,,,,,,аутоимуни поремећај,,,,,Autoimune bolesti,Autoimūna slimība,Autoimune bolesti,,,,Αυτοάνοσες ασθένειες,,,,,,,Aṭṭan affalman,,,,,,,,,,,,,,
