#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikip7535,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:63:101:0:1603:1:7:2616:98,0_1603_1_7_2616_98,,,,,,,EticaAI
1603:63:101:210:1:1,210_1_1,,,Q371213,/bidet || plumbing fixture or type of sink intended for washing the genitalia and anus of the human body/@eng-Latn,,,
1603:63:101:210:1:2,210_1_2,,,Q2679660,/bidet shower || hand-held triggered nozzle that is placed near the toilet and delivers a spray of water used for anal cleansing and cleaning of the genitals after using the toilet for defecation and urination/@eng-Latn,,,
1603:63:101:210:1:3,210_1_3,,,Q2514555,/lota (vessel) || Vessel used in South Asia/@eng-Latn,,,
1603:63:101:210:1:4,210_1_4,,,Q55386894,"/āftābeh || a traditional hand-held plastic, metal, or ceramic bidet vessel used for either washing hands and the face or cleaning genitalia in a toilet/@eng-Latn",,,
1603:63:101:210:1:5,210_1_5,,,Q131696,/towel || absorbent fabric or paper used for drying or wiping a body or a surface/@eng-Latn,,,
1603:63:101:210:2,210_2,,,Q11472,/paper || anal cleansing/@eng-Latn,,,
1603:63:101:210:2:1,210_2_1,,,Q5840,/toilet paper || tissue paper for cleaning after urination or defecation/@eng-Latn,,,
1603:63:101:220,220,,,Q3083164,/feminine hygiene || personal care products used by women/@eng-Latn,,,
1603:63:101:220:1,220_1,,,Q235693,"/sanitary napkin || absorbent item worn in the underwear by women who are menstruating, bleeding after giving birth or similar/@eng-Latn",,,
1603:63:101:220:2,220_2,,,Q976338,"/tampon || mass of absorbent material, primarily used as a feminine hygiene product/@eng-Latn",,,
1603:63:101:220:3,220_3,,,Q216997,/menstrual cup || feminine hygiene product worn inside the vagina during menstruation/@eng-Latn,,,
1603:63:101:230,230,,,,/Infant hygiene/@eng-Latn,,,
1603:63:101:230:1,230_1,,,Q187359,"/diaper || type of underwear that allows one to defecate or urinate, without the use of a toilet/@eng-Latn",,,
1603:63:101:230:1:1,230_1_1,,,Q55454739,/disposable diaper || single-use diaper/@eng-Latn,,,
1603:63:101:230:1:2,230_1_2,,,Q11871151,"/cloth diaper || reusable, washable diaper/@eng-Latn",,,
1603:63:101:240,240,,,,/Medical hygiene at home (draft)/@eng-latn,"This section contains more specific items related to hygiene for adults which may have some adverse medical condition.\n\n**Challange**: we're aware of items missing here, but they ideally would need to be bootstrapped on Wikipedia without any particular brand.",,
1603:63:101:240:1,240_1,,,Q860175,/adult diaper || diaper made to be worn by a person with a body larger than that of an infant or toddler/@eng-Latn,,,
1603:63:101:240:2,240_2,,,Q4210298,/ostomy pouching system || medical prosthetic that provides a means for the collection of waste from a diverted biological system/@eng-Latn,,,
1603:63:101:240:3,240_3,,,Q6015249,"/incontinence pad || small, impermeable multi-layered sheet with high absorbency that is used in the incontinence and health-care industries as a precaution against urinary incontinence/@eng-Latn",,,
1603:63:101:240:4,240_4,,,Q1025432,/urinary catheterization || Insertion of a catheter through the urethra to drain urine/@eng-Latn,,,
1603:63:101:240:5,240_5,,,Q7900628,"/urine collection device || deviation used to collect urine, especially in aircraft and spacecraft/@eng-Latn",,,
1603:63:101:499,499,,,Q7892,/drinking water || water safe for consumption/@eng-Latn,This section is entirely dedicated to drinking water. #@TODO is necessary to decide where to put items to products to use to purify water. One alternative is we simply create dedicated Cōdex and leave here only few concepts#,,
1603:63:101:499:1,499_1,,,Q1049049,/bottled water || water sold as a bottled product/@eng-Latn,,,
1603:63:101:500,500,,,Q2602563,/human nutrition/@eng-Latn,"The 500 to 599 is dedicated to food concepts.\n\nCompared to the rest of this work, the decision on how to divide types of food in a way that would be intuitive is not trivial. This doesn't mean that future versions of this would not have the existing concepts, but that is likely the organization will change.\n\nAt this moment if you want to generate derived works, consider using the Wikidara Q Codes instead of our internal ID.",,
1603:63:101:500:10,500_10,,,Q39087014,/Infant nutrition || dietary needs of infants/@eng-Latn@eng-Latn,,,
1603:63:101:500:10:1,500_10_1,,,Q22728,/human breast milk || milk produced by the mammary glands in the breast of a human female/@eng-Latn,,,
1603:63:101:500:10:2,500_10_2,,,Q427017,/breast pump || device for applying suction to breasts/@eng-Latn,,,
1603:63:101:500:10:9,500_10_9,,,Q797971,/baby food || food made especially for infants/@eng-Latn,,,
1603:63:101:500:10:9:1,500_10_9_1,,,Q2287198,/infant formula || manufactured food designed and marketed for feeding of infants/@eng-Latn,,,
1603:63:101:500:999,500_999,,,,/human nutrition (temporary; needs to be categorized)/@eng-Latn,,,
1603:63:101:500:999:1,500_999_1,,,Q332807,/emergency ration || food and drink that a person stores and relies on in case of an emergency/@eng-Latn,,,
1603:63:101:500:999:2,500_999_2,,,Q1699821,/energy bar || nutritional snack bar/@eng-Latn,,,
1603:63:101:500:999:3,500_999_3,,,Q7251457,/protein bar/@eng-Latn,,,
1603:63:101:500:999:4,500_999_4,,,Q17097831,/list of dried foods/@eng-Latn,,,
1603:63:101:500:999:4:1,500_999_4_1,,,Q234901,/dried fruit || fruit from which the majority of the original water content has been removed/@eng-Latn,,,
1603:63:101:500:999:4:2,500_999_4_2,,,Q1753272,/dried meat || meat that has been dehydrated/@eng-Latn,,,
1603:63:101:500:999:5,500_999_5,,,Q3346517,/medical food || foods that are specially formulated and intended for the dietary management of a disease that has distinctive nutritional needs that cannot be met by normal diet alone/@eng-Latn,,,
1603:63:101:510,510,,,Q5113,/Aves/,,,
1603:63:101:510:1,510_1,,,Q864693,/chicken meat || meat of a chicken/@eng-Latn,,,
1603:63:101:511,511,,,Q7377,/Mammalia/,,,
1603:63:101:511:1,511_1,,,Q192628,/beef || meat from cattle/@eng-Latn,,,
1603:63:101:511:2,511_2,,,Q957434,/veal || meat of young cattle/@eng-Latn,,,
1603:63:101:511:3,511_3,,,Q191768,/pork meat || meat from a pig/@eng-Latn,,,
1603:63:101:511:4,511_4,,,Q14566073,/mutton || meat of an adult sheep/@eng-Latn,,,
1603:63:101:511:5,511_5,,,Q2296872,/venison || deer meat/@eng-Latn,,,
1603:63:101:512,512,,,Q185217,/dairy product || food produced from or containing the milk of mammals/@eng-Latn,,,
1603:63:101:512:1,512_1,,,Q8495,/milk || white liquid produced by the mammary glands of mammals/@eng-Latn,,,
1603:63:101:512:1:1,512_1_1,,,Q513631,"/raw milk || milk that has not been pasteurized, a process of heating liquid foods to kill pathogens for safe consumption and extending the shelf life/@eng-Latn",,,
1603:63:101:512:1:2,512_1_2,,,Q13616188,/UHT milk || milk sterilized via Ultra-high temperature processing (UHT)/@eng-Latn,,,
1603:63:101:512:2,512_2,,,Q13417087,/evaporated milk || unsweetened condensed milk/@eng-Latn,,,
1603:63:101:512:3,512_3,,,Q2830455,"/condensed milk || cow's milk from which water has been removed, most often found with sugar added, in the form of sweetened condensed milk/@eng-latn",,,
1603:63:101:512:4,512_4,,,Q496696,/milk powder || dairy product made by evaporating milk to dryness (not the same as infant formula Q2287198)/@eng-Latn,,,
1603:63:101:512:50,512_50,,,Q34172,/butter || dairy product made from the fat and protein components of churned cream and is a semi-solid emulsion at room temperature/@eng-Latn,,,
1603:63:101:512:100,512_100,,,Q3506176,/fermented milk product || dairy food that has been fermented with lactic acid bacteria/@eng-Latn,,,
1603:63:101:512:100:1,512_100_1,,,Q13317,/yogurt || food produced by bacterial fermentation of milk/@eng-Latn,,,
1603:63:101:512:100:2,512_100_2,,,Q10943,"/cheese || dairy product produced in wide ranges of flavors, textures and forms by coagulation of the milk protein casein/@eng-Latn",,,
1603:63:101:512:100:3,512_100_3,,,Q106612,/buttermilk || type of fermented dairy drink/@eng-Latn,,,
1603:63:101:512:100:4,512_100_4,,,Q840171,/sour cream || dairy product produced by fermenting a regular cream with certain kinds of lactic acid bacteria/@eng-Latn,,,
1603:63:101:521,521,,,Q152,/Piscis/,,,
1603:63:101:521:1,521_1,,,Q600396,/fish as food (generic) || fish species used as food by humans/@eng-Latn,,,
1603:63:101:521:10,521_10,,,Q5141254,"/sardine || common names used to refer to various small, oily forage fish within the herring family of Clupeidae/@eng-Latn",,,
1603:63:101:521:10:1,521_10_1,,,Q7423795,/sardines as food/@eng-Latn,,,
1603:63:101:521:11,521_11,,,Q2346039,"/Thunnus || genus of ocean-dwelling, ray-finned bony fish from the mackerel family, Scombridae/@eng-Latn",,,
1603:63:101:555,555,,,Q736427,"/staple food (temporary; needs to be categorized) || food that is eaten routinely, and considered a dominant portion of a standard diet/@eng-Latn","Food that is eaten routinely, and considered a dominant portion of a standard diet",,
1603:63:101:555:1,555_1,,,Q11575,/Zea mays/@eng-Latn,,,
1603:63:101:555:2,555_2,,,Q5090,/Oryza sativa et Oryza glaberrima || cereal grain and seed of different Oryza and Zizania species. rice/@eng-Latn,,,
1603:63:101:555:3,555_3,,,Q15645384,/Triticum || cereal grain/@eng-Latn,,,
1603:63:101:555:4,555_4,,,Q10998,/Solanum tuberosum || starchy tuber of the plant Solanum tuberosum and is a root vegetable native to the Americas/@eng-Latn,,,
1603:63:101:555:5,555_5,,,Q83124,"/Manihot esculenta || is a woody shrub of the spurge family, Euphorbiaceae, native to South America. Although a perennial plant, cassava is extensively cultivated as an annual crop in tropical and subtropical regions for its edible starchy tuberous root, a major source of carbohydrates/@eng-Latn",,,
1603:63:101:555:6,555_6,,,Q11006,"/Glycine max || species of plant also know as soya bean plant, soya and soybeans/@eng-Latn",,,
1603:63:101:555:7,555_7,,,Q37937,/Ipomoea batatas || species of plant also know as sweet potato/@eng-Latn,,,
1603:63:101:555:8,555_8,,,Q8047551,/Dioscorea || yam is the common name for some plant species in the genus Dioscorea (family Dioscoreaceae) that form edible tubers/@eng-Latn,,,
1603:63:101:555:9,555_9,,,Q13530560,/Sorghum bicolor et Sorghum arundinaceum || Commercial sorghum/@eng-Latn,,,
1603:63:101:555:10,555_10,,,Q165449,"/cooking banana || /banana-like vegetable, less sweet/@eng-Latn",,,
1603:63:101:556,556,,,,"/lentils, chickpeas or other pulses/@eng-Latn","While the <<555>> we, at least, could get inspiration from Wikipedia (and is a viable use as reference international exports), this section is likely to be not as easy to decide items at world level. At least initially, it's likely to be biased to products common in Brazil.",,
1603:63:101:556:1,556_1,,,Q379813,"/bean || seed of one of several genera of the flowering plant family Fabaceae, which are used for human or animal food/@eng-Latn",,,
1603:63:101:556:1:1,556_1_1,,,Q131226,Lens culinaris et Lens esculenta,,,
1603:63:101:556:1:2,556_1_2,,,Q81375,Cicer arietinum,,,
1603:63:101:557,557,,,Q427457,"/cooking oil || oil consumed by humans, from vegetable or animal origin/@eng-Latn","Contains oil consumed by humans, from vegetable or animal origin. The decision making here should contain at least the differentiation between animal and vegetal origin (which could allow as a generic concept) and then the most common subtypes used at world level. Since this Codex is intended to be superficial, please do not put every possible type of cooking oil here, since it both makes it hard to collect the translations and makes it less likely to be useful as a concept for worldwide use.\n\nNote: the reason for this exclusive group is because <<557>>, <<558>> and <<559>> are mentioned in pretty much every country's food basket and even WFP blood basked 2022 mentioned then (despite variances of other items). We're aware that this makes the distributions of items on 5XX non-uniform, but is not as clear as other taxonomy strategies for these items.",,
1603:63:101:557:1,557_1,,,Q4739805,"/vegetable oil || extracted from seeds, or less often, from other parts of fruits/@eng-Latn",,,
1603:63:101:557:1:1,557_1_1,,,Q231458,/palm oil || edible vegetable oil from fruit of oil palms/@eng-Latn,,,
1603:63:101:557:1:2,557_1_2,,,Q926892,/soybean oil || oil from the seeds of Glycine max/@eng-Latn,,,
1603:63:101:557:1:3,557_1_3,,,Q98841400,"/canola oil || oil derived from a canola, low eruca acid cultivar of rapeseed/@eng-Latn",,,
1603:63:101:557:1:4,557_1_4,,,Q94787,/sunflower oil || oil pressed from the seed of Helianthus annuus/@eng-Latn,,,
1603:63:101:557:1:5,557_1_5,,,Q1960534,/palm kernel oil || edible plant oil derived from the kernel of the oil palm Elaeis guineensis/@eng-Latn,,,
1603:63:101:557:1:6,557_1_6,,,Q265878,/peanut oil || mild-tasting vegetable oil derived from peanuts/@eng-Latn,,,
1603:63:101:557:1:7,557_1_7,,,Q811663,"/cottonseed oil || cooking oil extracted from the seeds of cotton plants of various species, mainly Gossypium hirsutum and Gossypium herbaceum/@eng-Latn",,,
1603:63:101:557:1:8,557_1_8,,,Q216235,/coconut oil || edible oil extracted from the kernel or meat of mature coconuts harvested from the coconut palm/@eng-Latn,,,
1603:63:101:557:1:9,557_1_9,,,Q93165,/olive oil || liquid fat extracted by pressing olives/@eng-Latn,,,
1603:63:101:557:1:10,557_1_10,,,Q856775,/corn oil || oil extracted from the germ of corn (maize)/@eng-latn,,,
1603:63:101:557:2,557_2,,,Q1423543,/animal fats and oils || fats and oils which are derived from animals/@eng-Latn,,,
1603:63:101:557:2:1,557_2_1,,,Q72827,/lard || semi-solid white fat product obtained by rendering the fatty tissue of the pig/@eng-Latn,,,
1603:63:101:558,558,,,,/sugar/@eng-Latn,"Note: the reason for this exclusive group is because <<557>>, <<558>> and <<559>> are mentioned in pretty much every country's food basket and even WFP blood basked 2022 mentioned then (despite variances of other items). We're aware that this makes the distributions of items on 5XX non-uniform, but is not as clear as other taxonomy strategies for these items.",,
1603:63:101:558:1,558_1,,,Q11002,"/sugar || group of processed plant products, used as a food sweetener/@eng-Latn",,,
1603:63:101:558:2,558_2,,,Q626292,/sugar substitute || sweetener that contains significantly less food energy than sugar/@eng-Latn,,,
1603:63:101:559,559,,,Q11254,/table salt || sodium chloride (NaCl) used as a food ingredient and nutrient/@eng-Latn,"Note: the reason for this exclusive group is because <<557>>, <<558>> and <<559>> are mentioned in pretty much every country's food basket and even WFP blood basked 2022 mentioned then (despite variances of other items). We're aware that this makes the distributions of items on 5XX non-uniform, but is not as clear as other taxonomy strategies for these items.",,
1603:63:101:559:1,559_1,,,Q902318,/iodised salt || table salt preparation with iodide salts added/@eng-Latn,,,
1603:63:101:590,590,,,Q3773693,/kitchen utensil/@eng-Latn,"Both <<590>> and <591>> sections are an early work-in-progress. Cultures can also use different terms for similar concepts, (or the opposite). So these groups, while not a taboo topic, still need some time.",,
1603:63:101:590:1,590_1,,,Q154038,"/cookware and bakeware || types of food preparation containers for use on stovetops or in ovens; cooking pots, casseroles, saucepans, frying pans, baking tins, stockpots, etc/@eng-Latn",,,
1603:63:101:590:1:1,590_1_1,,,Q15711817,/stock pot || generic name for one of the most common types of cooking pot used worldwide/@eng-Latn,,,
1603:63:101:590:2,590_2,,,Q599312,/kitchen knife || knive intended for use in the process of preparing food/@eng-Latn,,,
1603:63:101:590:2:1,590_2_1,,,Q938509,/cleaver || large knife/@eng-Latn,,,
1603:63:101:591,591,,,Q1758541,/table setting || group of matched tableware or flatware for one diner/@eng-Latn,"Both <<590>> and <591>> sections are an early work-in-progress. Cultures can also use different terms for similar concepts, (or the opposite). So these groups, while not a taboo topic, still need some time.",,
1603:63:101:591:1,591_1,,,Q81944,/cutlery || kitchen utensil used for eating food/@eng-Latn,,,
1603:63:101:591:1:1,591_1_1,,,Q81895,"/spoon || utensil consisting of a small shallow bowl, oval or round, at the end of a handle/@eng-Latn",,,
1603:63:101:591:1:2,591_1_2,,,Q81881,/fork || utensil to spear food/@eng-Latn,,,
1603:63:101:591:1:3,591_1_3,,,Q3130638,/table knife || tableware/@eng-Latn,,,
1603:63:101:591:2,591_2,,,Q57216,/plate || flat vessel on which food can be served/@eng-Latn,,,
1603:63:101:591:3,591_3,,,Q2100893,/copo || #@TODO Wikidata requer revisao no termo em ingles#/@por-Latn,,,
1603:63:101:560,560,,,,/cooking fuel/@eng-Latn,"Cooking fuel is a work-in-progress list of things consumed on food preparation. Most food items given to others need to be prepared and this typically requires heat proportional to how much both how much food is given, the exact recipe of what is done with the food and the efficiency of energy transference. While is uncommon the same aiding with food items also given cooking fuel (which have different transportation requirements, likely heavier than the food itself) such topic worth as concept group on the dictionaries.\n\n**Trivia**: while the dictionaries are should not target too much specific use cases, worth to note that what fuel and how the individuals would obtain cooking fuel is quite relevant for health, safety and environment.",,
1603:63:101:560:1,560_1,,,Q1408429,/solid fuel || solid material that can be burnt to release energy/@eng-Latn,,,
1603:63:101:560:1:1,560_1_1,,,Q35808,/firewood || wood used for fires/@eng-Latn,,,
1603:63:101:560:2,560_2,,,Q1386534,/liquid fuel || combustible or energy-generating molecules that can be harnessed to create mechanical energy/@eng-Latn,,,
1603:63:101:560:3,560_3,,,Q909363,/fuel gas || combustible in gas form/@eng-Latn,,,
1603:63:101:560:3:1,560_3_1,,,Q40858,"/natural gas || naturally occurring hydrocarbon gas mixture consisting of methane and commonly includes various amounts of other higher alkanes, and sometimes a small percentage of carbon dioxide, nitrogen, hydrogen sulfide, or helium/@eng-Latn",,,
1603:63:101:560:3:2,560_3_2,,,Q351609,"/liquefied petroleum gas || flammable mixture of hydrocarbon gases, most commonly propane, butane, and propylene/@eng-Latn",,,
1603:63:101:600,600,,,Q11460,/clothing || covering worn on the human body/@eng-Latn,"This group is an **early**, incomplete even for superficial approach, group of dictionaries related to generic human clothing, without any specialization.The taxonomy on this area is likely to be easier than the food 500, but still need to have its time to be compiled.",,
1603:63:101:600:1,600_1,,,,/full body clothing/@eng-Latn,,,
1603:63:101:600:1:1,600_1_1,,,Q167884,/burqa || traditional cover worn by women/@eng-Latn,,,
1603:63:101:600:2,600_2,,,Q200539,"/dress || garment for women, children, or infants consisting of a bodice and skirt made in one or more pieces/@eng-Latn",,,
1603:63:101:600:5,600_5,,,Q39908,/trousers || clothing for the legs and lower body/@eng-Latn,,,
1603:63:101:600:10,600_10,,,Q14952,/headgear || ny covering for the head; element of clothing which is worn on one's head/@eng-Latn,,,
1603:63:101:600:10:1,600_10_1,,,Q210583,/niqab || cloth that covers the face as a part of sartorial hijab/@eng-Latn,,,
1603:63:101:600:10:2,600_10_2,,,Q172317,/hijab || veil worn by Muslim women covering the head and neck/@eng-Latn,,,
1603:63:101:600:20,600_20,,,Q161928,/footwear || garments worn on feet/@eng-Latn,,,
1603:63:101:1100,1100,,,Q8142,/currency || generally accepted medium of exchange for goods or services/@eng-Latn,,,
1603:63:101:1100:1,1100_1,,,Q1368,/money || physical or virtual object or record accepted as payment/@eng-Latn,,,
1603:63:101:3000,3000,,,Q188844,/volunteering || unpaid work undertaken freely by individuals as a service to others/@eng-Latn,"The entire 3XXX is a reserved namespace to concepts which are not concrete objects, but volunteer services.\n\nNote: even for an superficial compilation, this section is clearly incomplete.\n\n**Note**: if this section (as is likely) grow too much, we're likely to create dedicated Cōdex focused on services.",,
1603:63:101:3000:1,3000_1,,,Q53467,/blood donation || occurs when a person or other mammal voluntarily has blood drawn/@eng-Latn,,,
1603:63:101:3000:2,3000_2,,,Q2138622,/nutrition || process of assimilating nutrients in food/@eng-Latn,,,
1603:63:101:3000:2:1,3000_2_1,,,Q156839,/cook || occupation involving cooking food/@eng-Latn,,,
1603:63:101:9000,9000,,,Q1460420,"/emergency management || discipline of dealing with and avoiding both natural and man-made disasters, with the goal of reducing the harmful effects/@eng-Latn","#Early stage work-in-progress section. Current codes may be may be restructured.#\n\nWhile several parts of the baseline Codex could be considered part of emergency management, this section mostly contains what cannot be considered as part of previous subgroups and are concrete things which _could be given_, not abstract ideas. A better name for this topic would be **equipment for disaster response**, but no strict match exists on Wikipedia. However, the current one is sufficient for taxonomic organization.\n\nSomewhat similar to modern medicine, practices used on disaster response in the field tend to follow what local experts discover to be **more efficient and, for sake of urgency, are much less dependent on cultural factors**. As reference, this context means that this group is less likely to be as hard as the 500-599 groups to organize taxonomic categorization! However, it is still more complex the decision of concepts than what people could decide to put on a First Aid Kit.",,
1603:63:101:9000:1,9000_1,,,Q228534,/working animal || domesticated animals for assisting people/@eng-Latn,,,
1603:63:101:9000:1:1,9000_1_1,,,Q39453,/search and rescue dog || dog trained to locate or retrieve a missing or trapped person/@eng-Latn,"/There's subtypes of search and rescue dogs (and this really matters on the search strategy). Dogs are very sensitive to smell, which means regular training must be realistic (inclusive for the _cadaver dogs_)./@eng-Latn",,
1603:63:101:9000:1:1:1,9000_1_1_1,,,,"//cão de rastreio || utiliza-se uma peça de roupa específica da vítima e inicia as buscas por um ponto exato por onde ela passou. O cão fareja a trilha de odor deixada pela vítima quando se deslocou, ou seja, células mortas que impregnam o solo, folhas, ramos, galhos ou qualquer objeto que se encontre pelo caminho seguido pela mesma. O cão irá detectar o odor específico daquela vítima//@por-Latn",/#No Wikidata Q exact item. Needs better bootstrapping.#\n\nTemporary reference is this one +++https://cb.es.gov.br/Media/CBMES/PDF's/Legislacao/337-R%20-%20Anexo%201%20-%20Manual%20T%C3%A9cnico%20de%20Resgate%20com%20C%C3%A3es%20-%20CBMES.pdf+++/@eng-Latn,,
1603:63:101:9000:1:1:2,9000_1_1_2,,,,"//cão de venteio || irá detectar as partículas liberadas pelo corpo humano no ar. Nesta situação há a formação do chamado “CONE de ODOR”. Ao detectar o cheiro no ar e entrar no cone, o cão buscará a fonte. Neste caso, o cão não trabalha com um odor específico, não sendo necessária a utilização de uma peça de roupa da vítima. O cão localizará qualquer humano que esteja dentro de sua área de busca, indicando apenas a vítima//@por-Latn",/#No Wikidata Q exact item. Needs better bootstrapping.#\n\nTemporary reference is this one +++https://cb.es.gov.br/Media/CBMES/PDF's/Legislacao/337-R%20-%20Anexo%201%20-%20Manual%20T%C3%A9cnico%20de%20Resgate%20com%20C%C3%A3es%20-%20CBMES.pdf+++/@eng-Latn,,
1603:63:101:9000:1:1:10,9000_1_1_10,,,,//cão forense || cão de resgate de restos mortais//@por-Latn,/#No Wikidata Q exact item. Needs better bootstrapping.#\n\nTemporary reference is this one +++https://cb.es.gov.br/Media/CBMES/PDF's/Legislacao/337-R%20-%20Anexo%201%20-%20Manual%20T%C3%A9cnico%20de%20Resgate%20com%20C%C3%A3es%20-%20CBMES.pdf+++/@eng-Latn,,
1603:63:101:9000:2,9000_2,,,Q2578402,/hand tool || tool equipment powered manually/@eng-Latn,,,
1603:63:101:9000:2:1,9000_2_1,,,Q13681,/crowbar || hand tool used for pulling nails with leverage/@eng-Latn,,,
1603:63:101:9000:2:2,9000_2_2,,,Q41551,/pipe || tubular section or hollow cylinder/@eng-Latn,"Example reference: _At the most basic, the gear can include items like a sledgehammer, pry bar, and steel pipe. In a small area, he explains, using a pry bar to leverage a heavy piece of material onto sections of rolling steel pipe can be a way to move it to a more open area_ -- Todd Livingston +++https://www.popsci.com/technology/miami-collapse-search-and-rescue-techniques/+++",,
1603:63:101:9000:2:3,9000_2_3,,,Q10981947,"/sledgehammer || tool with a large, flat, often metal head, attached to a long handle/@eng-Latn",,,
1603:63:101:9000:2:4,9000_2_4,,,Q13049940,"/pliers || tool with two legs, can fix or modify a workpiece/@eng-Latn",Example reference: +++https://sustainableheritagenetwork.org/system/files/atoms/file/A9_DisasterResponseSupplies.pdf+++,,
1603:63:101:9000:2:5,9000_2_5,,,Q161071,/screwdriver || hand-tool used for driving screws/@eng-Latn,Example reference: +++https://sustainableheritagenetwork.org/system/files/atoms/file/A9_DisasterResponseSupplies.pdf+++,,
1603:63:101:9000:2:6,9000_2_6,,,Q245934,/wire cutters || pliers intended for the cutting of wire (they are generally not used to grab or turn anything)/@eng-Latn,,,
1603:63:101:9000:2:7,9000_2_7,,,Q827274,/angle grinder || handheld power tool used for grinding (abrasive cutting) and polishing metals/@eng-Latn,/Example reference: (named as _Moto-abrasivo (cortador de disco)_) +++https://cb.es.gov.br/Media/CBMES/PDF's/CEIB/Cursos%20e%20treinamentos/apostila_resgate_veicular.pdf+++/@eng-Latn,,
1603:63:101:9000:2:10,9000_2_10,,,Q7220961,"/shovel || tool for digging, lifting, and moving bulk materials/@eng-Latn",,,
1603:63:101:9000:2:100,9000_2_100,,,Q230711,"/machete || broad blade used either as an implement like an axe, or in combat like a short sword/@eng-Latn",/Referência de exemplo: +++https://bdex.eb.mil.br/jspui/bitstream/123456789/7623/1/ART_LANFERINI_MARQUEZ_CFO.pdf+++/@por-Latn,,
1603:63:101:9000:2:900,9000_2_900,,,Q25294,/hammer || tool meant to deliver an impact to an object/@eng-Latn,/#@TODO: this item requires evidence proving that it is actually used in the context of the upper category in one or more of the world regions. Mere construction materials should not be here#/@eng-Latn,,
1603:63:101:9000:2:901,9000_2_901,,,Q232254,"/pickaxe || tool for breaking hard surfaces, with a long wooden handle and a curved metal bar with a sharp point/@eng-Latn",/#@TODO: this item requires evidence proving that it is actually used in the context of the upper category in one or more of the world regions. Mere construction materials should not be here#/@eng-Latn,,
1603:63:101:9000:3,9000_3,,,Q1327701,/power tool || tool that is actuated by an additional power source and mechanism other than by hand alone/@eng-Latn,/#@TODO +++https://cb.es.gov.br/Media/CBMES/PDF's/CEIB/Cursos%20e%20treinamentos/apostila_resgate_veicular.pdf+++/@eng-Latn,,
1603:63:101:9000:3:1,9000_3_1,,,Q208040,/chainsaw || high-powered cutting tool/@eng-Latn,,,
1603:63:101:9000:3:2,9000_3_2,,,Q5159079,"/concrete saw || power tool used for cutting concrete, masonry, brick, asphalt, tile, and other solid materials/@eng-Latn",,,
1603:63:101:9000:4,9000_4,,,Q131502,/electric generator || device that converts other energy to electrical energy/@eng-Latn,,,
1603:63:101:9000:10,9000_10,,,,Symbolum,,,
1603:63:101:9000:10:2,9000_10_2,,,Q6132995,"/road traffic control || directing vehicular and pedestrian traffic around a construction zone, accident or other road disruption/@eng-Latn",,,
1603:63:101:9000:10:2:1,9000_10_2_1,,,Q694547,/traffic cone || cone-shaped marker used for traffic management/@eng-Latn,,,
1603:63:101:9000:100,9000_100,,,Q1333024,"/personal protective equipment || protective clothing or equipment designed to help protect an individual from injury, infection, or other hazards/@eng-Latn",/#@TODO: #/@eng-Latn,,
1603:63:101:9000:100:2,9000_100_2,,,Q173603,/helmet || any type of historical or modern armor worn to protect the head/@eng-Latn,,,
1603:63:101:9000:100:4,9000_100_4,,,Q72797,/goggles || forms of protective eyewear/@eng-Latn,,,
1603:63:101:9000:100:6,9000_100_6,,,Q169031,/glove || covering worn on the hand/@eng-Latn,,,
