#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_eng+is_latn,#item+rem+i_por+is_latn,#item+rem+i_qcc+is_zxxx+ix_codexfacto,,,,,,,,,,,,
1603:1:99:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,EticaAI,,,,,,,,,,,,
1603:1:99:100:4:1,100_4_1,,"Please contact us. This book uses Latin (sometimes _dog Latin_) to document all other languages, but we obviously can automated generation of books for others using other writing systems and some reference language. We need special help with writing systems such as Bengali, Devanagari and Tamil. For Right to Left scripts, despite being able to render the text, the book printing will require a different template. Only replacing Latin will not work, so we're open to ideas to make a great user experience!","Por favor, entre em contato conosco. Este livro usa latim (às vezes _latim macarrónico_) para documentar todos os outros idiomas, mas obviamente podemos automatizar a geração de livros para outros usando outros sistemas de escrita e algum idioma de referência. Precisamos de ajuda especial com sistemas de escrita como Bengali, Devanagari e Tamil. Para scripts da direita para a esquerda, apesar de poder renderizar o texto, a impressão do livro exigirá um modelo diferente. Apenas substituir o latim não funcionará, por isso estamos abertos a ideias para proporcionar uma ótima experiência ao usuário!",,,,,,,,,,,,,
1603:1:99:101,101,,TODO move to 1603_1_101 (archives) here temporary,,,,,,,,,,,,,,
1603:1:99:101:1,101_1,,/Numerordinatio on HXLTM container/,/Numerordinatio no contêiner HXLTM/,,,,,,,,,,,,,
1603:1:99:101:2,101_2,,/Numerordinatio on HXLTM container (expanded with terminology translations)/,/Numerordinatio no contêiner HXLTM (expandido com traduções de terminologia)/,,,,,,,,,,,,,
1603:1:99:101:3,101_3,,/Metadata about no1.tm.hxl.csv/,/Metadados sobre no1.tm.hxl.csv/,,,,,,,,,,,,,
1603:1:99:101:4,101_4,,/Metadata about tm.hxl.csv/,/Metadados sobre tm.hxl.csv/,,,,,,,,,,,,,
1603:1:99:101:5,101_5,,/Metadata about annexes (local namespace)/,/Metadados sobre anexos (espaço de nomes local)/,,,,,,,,,,,,,
1603:1:99:101:6,101_6,,HXLTM dialect of HXLStandard on CSV RFC 4180. TL;DR: wikiq means #item+conceptum+codicem are strictly Wikidata QIDs.,Dialeto HXLTM do Padrão HXL em CSV RFC 4180. Resumidamente: wikiq significa que #item+conceptum+codicem são estritamente Wikidata QIDs.,,,,,,,,,,,,,
1603:1:99:101:6:854,101_6_854,,https://hxltm.etica.ai/,,,,,,,,,,,,,,
1603:1:99:101:7,101_7,,TODO no11.xml,,,,,,,,,,,,,,
1603:1:99:101:7:854,101_7_854,,https://hxltm.etica.ai/,,,,,,,,,,,,,,
1603:1:99:101:8,101_8,,"TBX-Basic is a terminological markup language (TML) that is a lighter version of TBX-Default, the TML that is defined in ISO 30042. TBX-Basic is designed for the localization industry and is based on information from surveys and studies that were conducted by the LISA Term SIG about the types of terminology data that the localization industry requires.","TBX-Basic é uma linguagem de marcação terminológica (TML) que é uma versão mais leve de TBX-Default, a TML que é definida na ISO 30042. TBX-Basic é projetada para o setor de localização e é baseada em informações de pesquisas e estudos que foram conduzida pelo LISA Term SIG sobre os tipos de dados de terminologia que o setor de localização exige.",,,,,,,,,,,,,
1603:1:99:101:8:854,101_8_854,,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,,,,,,,,,,,,,,
1603:1:99:101:9,101_9,,"The purpose of the Translation Memory eXchange format (TMX) format is to provide a standard method to describe translation memory data that is being exchanged among tools and/or translation vendors, while introducing little or no loss of critical data during the process","O objetivo do formato Translation Memory eXchange (TMX) é fornecer um método padrão para descrever dados de memória de tradução que estão sendo trocados entre ferramentas e/ou fornecedores de tradução, ao mesmo tempo em que introduz pouca ou nenhuma perda de dados críticos durante o processo",,,,,,,,,,,,,
1603:1:99:101:9:854,101_9_854,,https://www.gala-global.org/tmx-14b,,,,,,,,,,,,,,
1603:1:99:101:10,101_10,,"AsciiDoc is a plain text authoring format (i.e., lightweight markup language) for writing technical content such as documentation, articles, and books.","AsciiDoc é um formato de autoria de texto simples (ou seja, linguagem de marcação leve) para escrever conteúdo técnico, como documentação, artigos e livros.",,,,,,,,,,,,,
1603:1:99:101:10:854,101_10_854,,https://docs.asciidoctor.org/,,,,,,,,,,,,,,
1603:1:99:101:11,101_11,,"Portable Document Format (PDF), standardized as ISO 32000, is a file format developed by Adobe in 1992 to present documents, including text formatting and images, in a manner independent of application software, hardware, and operating systems.","Portable Document Format (PDF), padronizado como ISO 32000, é um formato de arquivo desenvolvido pela Adobe em 1992 para apresentar documentos, incluindo formatação de texto e imagens, de maneira independente do software aplicativo, hardware e sistemas operacionais.",,,,,,,,,,,,,
1603:1:99:101:11:854,101_11_854,,https://www.adobe.com/content/dam/acom/en/devnet/pdf/pdfs/PDF32000_2008.pdf,,,,,,,,,,,,,,
1603:1:99:999,999,,@TODOs,,,,,,,,,,,,,,
1603:1:99:999:1,999_1,,Add links to codex to search by last edits on Q itens on the current book. See https://wikidata-todo.toolforge.org/sparql_rc.php?,,,,,,,,,,,,,,
