#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:324:3:400110,400110,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400110,Moribayah,GN00400110,Moribayah,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400111,400111,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400111,Sabadou Baranama,GN00400111,Sabadou Baranama,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400112,400112,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400112,Tinti Oulen,GN00400112,Tinti Oulen,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400113,400113,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,1603:45:16:324:3:400113,Tokounou,GN00400113,Tokounou,,,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400201,400201,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4002,1603:45:16:324:3:400201,Banankoro,GN00400201,Banankoro,,,Kerouane,GN004002,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400202,400202,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4002,1603:45:16:324:3:400202,Damaro,GN00400202,Damaro,,,Kerouane,GN004002,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400203,400203,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4002,1603:45:16:324:3:400203,Kerouane Ctre,GN00400203,Kerouane Ctre,,,Kerouane,GN004002,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400204,400204,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4002,1603:45:16:324:3:400204,Komodou,GN00400204,Komodou,,,Kerouane,GN004002,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400205,400205,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4002,1603:45:16:324:3:400205,Konsankoro,GN00400205,Konsankoro,,,Kerouane,GN004002,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400206,400206,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4002,1603:45:16:324:3:400206,Linko,GN00400206,Linko,,,Kerouane,GN004002,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400207,400207,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4002,1603:45:16:324:3:400207,Sibiribaro,GN00400207,Sibiribaro,,,Kerouane,GN004002,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400208,400208,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4002,1603:45:16:324:3:400208,Soromaya,GN00400208,Soromaya,,,Kerouane,GN004002,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400301,400301,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400301,Babila,GN00400301,Babila,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400302,400302,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400302,Balato,GN00400302,Balato,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400303,400303,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400303,Banfele,GN00400303,Banfele,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400304,400304,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400304,Baro,GN00400304,Baro,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400305,400305,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400305,Cissela,GN00400305,Cissela,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400306,400306,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400306,Douako,GN00400306,Douako,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400307,400307,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400307,Doura,GN00400307,Doura,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400308,400308,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400308,Kiniero,GN00400308,Kiniero,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400309,400309,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400309,Komola Khoura,GN00400309,Komola Khoura,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400310,400310,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400310,Koumana,GN00400310,Koumana,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400311,400311,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400311,Kouroussa Ctre,GN00400311,Kouroussa Ctre,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400312,400312,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,1603:45:16:324:3:400312,Sanguiana,GN00400312,Sanguiana,,,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400401,400401,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400401,Balandougouba,GN00400401,Balandougouba,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400402,400402,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400402,Dialokoro,GN00400402,Dialokoro,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400403,400403,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400403,Faralako,GN00400403,Faralako,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400404,400404,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400404,Kantoumanina,GN00400404,Kantoumanina,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400405,400405,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400405,Kinieran,GN00400405,Kinieran,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400406,400406,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400406,Koundian,GN00400406,Koundian,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400407,400407,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400407,Koundianakoro,GN00400407,Koundianakoro,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400408,400408,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400408,Mandiana Ctre,GN00400408,Mandiana Ctre,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400409,400409,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400409,Morodou,GN00400409,Morodou,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400410,400410,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400410,Niantanina,GN00400410,Niantanina,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400411,400411,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400411,Saladou,GN00400411,Saladou,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400412,400412,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,1603:45:16:324:3:400412,Sansando,GN00400412,Sansando,,,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400501,400501,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400501,Bankon,GN00400501,Bankon,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400502,400502,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400502,Doko,GN00400502,Doko,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400503,400503,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400503,Franwalia,GN00400503,Franwalia,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400504,400504,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400504,Kiniebakoura,GN00400504,Kiniebakoura,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400505,400505,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400505,Kintinian,GN00400505,Kintinian,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400506,400506,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400506,Malea,GN00400506,Malea,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400507,400507,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400507,Naboun,GN00400507,Naboun,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400508,400508,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400508,Niagassola,GN00400508,Niagassola,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400509,400509,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400509,Niandankoro,GN00400509,Niandankoro,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400510,400510,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400510,Norassoba,GN00400510,Norassoba,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400511,400511,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400511,Siguiri Ctre,GN00400511,Siguiri Ctre,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:400512,400512,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,1603:45:16:324:3:400512,Siguirini,GN00400512,Siguirini,,,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500101,500101,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5001,1603:45:16:324:3:500101,Coyah Ctre,GN00500101,Coyah Ctre,,,Coyah,GN005001,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500102,500102,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5001,1603:45:16:324:3:500102,Kouria,GN00500102,Kouria,,,Coyah,GN005001,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500103,500103,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5001,1603:45:16:324:3:500103,Maneah,GN00500103,Maneah,,,Coyah,GN005001,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500104,500104,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5001,1603:45:16:324:3:500104,Wonkifong,GN00500104,Wonkifong,,,Coyah,GN005001,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500201,500201,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5002,1603:45:16:324:3:500201,Badi,GN00500201,Badi,,,Dubreka,GN005002,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500202,500202,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5002,1603:45:16:324:3:500202,Dubreka Ctre,GN00500202,Dubreka Ctre,,,Dubreka,GN005002,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500203,500203,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5002,1603:45:16:324:3:500203,Falessade,GN00500203,Falessade,,,Dubreka,GN005002,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500204,500204,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5002,1603:45:16:324:3:500204,Khorira,GN00500204,Khorira,,,Dubreka,GN005002,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500205,500205,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5002,1603:45:16:324:3:500205,Ouassou,GN00500205,Ouassou,,,Dubreka,GN005002,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500207,500207,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5002,1603:45:16:324:3:500207,Tondon,GN00500207,Tondon,,,Dubreka,GN005002,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500208,500208,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5002,1603:45:16:324:3:500208,Tanene,GN00500208,Tanene,,,Dubreka,GN005002,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500301,500301,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,1603:45:16:324:3:500301,Allassoyah,GN00500301,Allassoyah,,,Forecariah,GN005003,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500302,500302,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,1603:45:16:324:3:500302,Benty,GN00500302,Benty,,,Forecariah,GN005003,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500303,500303,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,1603:45:16:324:3:500303,Farmoriah,GN00500303,Farmoriah,,,Forecariah,GN005003,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500304,500304,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,1603:45:16:324:3:500304,Forecariah Ctre,GN00500304,Forecariah Ctre,,,Forecariah,GN005003,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500305,500305,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,1603:45:16:324:3:500305,Kaback,GN00500305,Kaback,,,Forecariah,GN005003,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500306,500306,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,1603:45:16:324:3:500306,Kakossa,GN00500306,Kakossa,,,Forecariah,GN005003,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500307,500307,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,1603:45:16:324:3:500307,Kaliah,GN00500307,Kaliah,,,Forecariah,GN005003,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500308,500308,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,1603:45:16:324:3:500308,Maferinya,GN00500308,Maferinya,,,Forecariah,GN005003,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500309,500309,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,1603:45:16:324:3:500309,Moussayah,GN00500309,Moussayah,,,Forecariah,GN005003,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500310,500310,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,1603:45:16:324:3:500310,Sikhourou,GN00500310,Sikhourou,,,Forecariah,GN005003,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500401,500401,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,1603:45:16:324:3:500401,Bangouya,GN00500401,Bangouya,,,Kindia,GN005004,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500402,500402,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,1603:45:16:324:3:500402,Damakania,GN00500402,Damakania,,,Kindia,GN005004,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500403,500403,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,1603:45:16:324:3:500403,Friguiagbe,GN00500403,Friguiagbe,,,Kindia,GN005004,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500404,500404,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,1603:45:16:324:3:500404,Kindia Ctre,GN00500404,Kindia Ctre,,,Kindia,GN005004,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500405,500405,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,1603:45:16:324:3:500405,Kolente,GN00500405,Kolente,,,Kindia,GN005004,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500406,500406,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,1603:45:16:324:3:500406,Madina Oula,GN00500406,Madina Oula,,,Kindia,GN005004,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500407,500407,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,1603:45:16:324:3:500407,Mambia,GN00500407,Mambia,,,Kindia,GN005004,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500408,500408,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,1603:45:16:324:3:500408,Molota,GN00500408,Molota,,,Kindia,GN005004,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500409,500409,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,1603:45:16:324:3:500409,Samaya,GN00500409,Samaya,,,Kindia,GN005004,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500410,500410,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,1603:45:16:324:3:500410,Sougueta,GN00500410,Sougueta,,,Kindia,GN005004,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500501,500501,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500501,Bourouwal,GN00500501,Bourouwal,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500502,500502,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500502,Daramagnaky,GN00500502,Daramagnaky,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500503,500503,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500503,Gougoudje,GN00500503,Gougoudje,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500504,500504,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500504,Koba,GN00500504,Koba,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500505,500505,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500505,Kollet,GN00500505,Kollet,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500506,500506,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500506,Konsotami,GN00500506,Konsotami,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500507,500507,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500507,Missira,GN00500507,Missira,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500508,500508,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500508,Santou,GN00500508,Santou,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500509,500509,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500509,Sarekali,GN00500509,Sarekali,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500510,500510,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500510,Sinta,GN00500510,Sinta,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500511,500511,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500511,Sogolon,GN00500511,Sogolon,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500512,500512,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500512,Tarihoye,GN00500512,Tarihoye,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500513,500513,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500513,Telemele Ctre,GN00500513,Telemele Ctre,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:500514,500514,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,1603:45:16:324:3:500514,Thionthian,GN00500514,Thionthian,,,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:600101,600101,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6001,1603:45:16:324:3:600101,Fafaya,GN00600101,Fafaya,,,Koubia,GN006001,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:600102,600102,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6001,1603:45:16:324:3:600102,Gadha Woundou,GN00600102,Gadha Woundou,,,Koubia,GN006001,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:600103,600103,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6001,1603:45:16:324:3:600103,Koubia Ctre,GN00600103,Koubia Ctre,,,Koubia,GN006001,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:600104,600104,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6001,1603:45:16:324:3:600104,Matakaou,GN00600104,Matakaou,,,Koubia,GN006001,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:600105,600105,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6001,1603:45:16:324:3:600105,Missira,GN00600105,Missira,,,Koubia,GN006001,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:600106,600106,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6001,1603:45:16:324:3:600106,Pilimini,GN00600106,Pilimini,,,Koubia,GN006001,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
