#adm3+name+i_en,#adm3+name+i_ar,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm3+name+alt1+i_ar,#adm3+name+alt2+i_ar,#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
Damascus,دمشق,SY010000,,,,,,Damascus,دمشق,SY0100,Damascus,دمشق,SY01,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Salanfa,صلنفة,SY060301,,,,,,Al-Haffa,الحفة,SY0603,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ein Et-teeneh,عين التينة,SY060302,,,,,,Al-Haffa,الحفة,SY0603,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kansaba,كنسبا,SY060303,,,,,,Al-Haffa,الحفة,SY0603,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Mzair'a,مزيرعة,SY060304,Mzaira,,,,,Al-Haffa,الحفة,SY0603,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al-Qardaha,مركز القرداحة,SY060400,,,,,,Al-Qardaha,القرداحة,SY0604,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Harf Elmseitra,حرف المسيترة,SY060401,,,,,,Al-Qardaha,القرداحة,SY0604,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Fakhura,الفاخورة,SY060402,,,,,,Al-Qardaha,القرداحة,SY0604,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jobet Berghal,جوبة برغال,SY060403,,,,,,Al-Qardaha,القرداحة,SY0604,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Idleb,مركز إدلب,SY070000,,,,,,Idleb,مركز إدلب,SY0700,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Abul Thohur,أبو الظهور,SY070001,,,,,,Idleb,مركز إدلب,SY0700,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Bennsh,بنش,SY070002,,,,,,Idleb,مركز إدلب,SY0700,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Saraqab,سراقب,SY070003,,,,,,Idleb,مركز إدلب,SY0700,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Teftnaz,تفتناز,SY070004,,,,,,Idleb,مركز إدلب,SY0700,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Maaret Tamsrin,معرة تمصرين,SY070005,,,,,,Idleb,مركز إدلب,SY0700,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sarmin,سرمين,SY070006,,,,,,Idleb,مركز إدلب,SY0700,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ma'arrat An Nu'man,مركز معرة النعمان,SY070200,Maarrat An Numan,,,,,Al Ma'ra,معرة النعمان,SY0702,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Khan Shaykun,خان شيخون,SY070201,,,,,,Al Ma'ra,معرة النعمان,SY0702,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sanjar,سنجار,SY070202,,,,,,Al Ma'ra,معرة النعمان,SY0702,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kafr Nobol,كفر نبل,SY070203,,,,,,Al Ma'ra,معرة النعمان,SY0702,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tamanaah,التمانعة,SY070204,,,,,,Al Ma'ra,معرة النعمان,SY0702,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Heish,حيش,SY070205,,,,,,Al Ma'ra,معرة النعمان,SY0702,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Harim,مركز حارم,SY070300,,,,,,Harim,حارم,SY0703,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Dana,دانا,SY070301,,,,,,Harim,حارم,SY0703,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Salqin,سلقين,SY070302,,,,,,Harim,حارم,SY0703,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kafr Takharim,كفر تخاريم,SY070303,,,,,,Harim,حارم,SY0703,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Qourqeena,قورقينا,SY070304,,,,,,Harim,حارم,SY0703,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Armanaz,أرمناز,SY070305,,,,,,Harim,حارم,SY0703,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,,,,,,Jisr-Ash-Shugur,جسر الشغور,SY0704,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Badama,بداما,SY070401,,,,,,Jisr-Ash-Shugur,جسر الشغور,SY0704,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Darkosh,دركوش,SY070402,,,,,,Jisr-Ash-Shugur,جسر الشغور,SY0704,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Janudiyeh,الجانودية,SY070403,,,,,,Jisr-Ash-Shugur,جسر الشغور,SY0704,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ariha,مركز أريحا,SY070500,,,,,,Ariha,أريحا,SY0705,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ehsem,احسم,SY070501,,,,,,Ariha,أريحا,SY0705,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Mhambal,محمبل,SY070502,,,,,,Ariha,أريحا,SY0705,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al-Hasakeh,مركز الحسكة,SY080000,,,,,,Al-Hasakeh,مركز الحسكة,SY0800,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tal Tamer,تل تمر,SY080001,,,,,,Al-Hasakeh,مركز الحسكة,SY0800,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Shadadah,شدادة,SY080002,,,,,,Al-Hasakeh,مركز الحسكة,SY0800,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Markada,مركدة,SY080003,,,,,,Al-Hasakeh,مركز الحسكة,SY0800,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Be'r Al-Hulo Al-Wardeyyeh,بئر الحلو الوردية,SY080004,Ber Al-Hulo Al-Wardeyyeh,,,,,Al-Hasakeh,مركز الحسكة,SY0800,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Areesheh,العريشة,SY080005,,,,,,Al-Hasakeh,مركز الحسكة,SY0800,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hole,الهول,SY080006,,,,,,Al-Hasakeh,مركز الحسكة,SY0800,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Quamishli,مركز القامشلي,SY080200,,,,,,Quamishli,القامشلي,SY0802,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tal Hmis,تل حميس,SY080201,,,,,,Quamishli,القامشلي,SY0802,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Amuda,عامودا,SY080202,,,,,,Quamishli,القامشلي,SY0802,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Qahtaniyyeh,قحطانية,SY080203,,,,,,Quamishli,القامشلي,SY0802,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al-Malikeyyeh,مركز المالكية,SY080300,,,,,,Al-Malikeyyeh,المالكية,SY0803,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jawadiyah,جوادية,SY080301,,,,,,Al-Malikeyyeh,المالكية,SY0803,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ya'robiyah,يعربية,SY080302,Yarobiyah,,,,,Al-Malikeyyeh,المالكية,SY0803,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ras Al Ain,مركز رأس العين,SY080400,,,,,,Ras Al Ain,رأس العين,SY0804,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Darbasiyah,درباسية,SY080401,,,,,,Ras Al Ain,رأس العين,SY0804,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Deir-ez-Zor,مركز دير الزور,SY090100,,,,,,Deir-ez-Zor,مركز دير الزور,SY0901,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kisreh,كسرة,SY090101,,,,,,Deir-ez-Zor,مركز دير الزور,SY0901,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Basira,بصيرة,SY090102,,,,,,Deir-ez-Zor,مركز دير الزور,SY0901,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Muhasan,موحسن,SY090103,,,,,,Deir-ez-Zor,مركز دير الزور,SY0901,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tabni,التبني,SY090104,,,,,,Deir-ez-Zor,مركز دير الزور,SY0901,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Khasham,خشام,SY090105,,,,,,Deir-ez-Zor,مركز دير الزور,SY0901,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sur,صور,SY090106,,,,,,Deir-ez-Zor,مركز دير الزور,SY0901,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Abu Kamal,مركز البوكمال,SY090200,,,,,,Abu Kamal,البوكمال,SY0902,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hajin,هجين,SY090201,,,,,,Abu Kamal,البوكمال,SY0902,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jalaa,الجلاء,SY090202,,,,,,Abu Kamal,البوكمال,SY0902,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Susat,سوسة,SY090203,,,,,,Abu Kamal,البوكمال,SY0902,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al Mayadin,مركز الميادين,SY090300,,,,,,Al Mayadin,الميادين,SY0903,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Thiban,ذيبان,SY090301,,,,,,Al Mayadin,الميادين,SY0903,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ashara,عشارة,SY090302,,,,,,Al Mayadin,الميادين,SY0903,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tartous,مركز طرطوس,SY100000,,,,,,Tartous,مركز طرطوس,SY1000,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Arwad,أرواد,SY100001,,,,,,Tartous,مركز طرطوس,SY1000,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hameidiyyeh,الحميدية,SY100002,,,,,,Tartous,مركز طرطوس,SY1000,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kherbet Elma'aza,خربة المعزة,SY100003,Kherbet Elmaaza,,,,,Tartous,مركز طرطوس,SY1000,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Soda Khawabi,سودا خوابي,SY100004,,,,,,Tartous,مركز طرطوس,SY1000,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kareemeh,كريمة,SY100005,,,,,,Tartous,مركز طرطوس,SY1000,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Safsafa,صفصافة,SY100006,,,,,,Tartous,مركز طرطوس,SY1000,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Banyas,مركز بانياس,SY100200,,,,,,Banyas,بانياس,SY1002,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Rawda,الروضة,SY100201,,,,,,Banyas,بانياس,SY1002,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Taleen,تالين,SY100206,,,,,,Banyas,بانياس,SY1002,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Safita,مركز صافيتا,SY100300,,,,,,Safita,صافيتا,SY1003,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Mashta Elhiu,مشتى الحلو,SY100301,,,,,,Safita,صافيتا,SY1003,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Bariqiyeh,البارقية,SY100302,,,,,,Safita,صافيتا,SY1003,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sibbeh,سبة,SY100303,,,,,,Safita,صافيتا,SY1003,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sisniyyeh,السيسنية,SY100304,,,,,,Safita,صافيتا,SY1003,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ras El-Khashufeh,رأس الخشوفة,SY100305,,,,,,Safita,صافيتا,SY1003,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Dreikish,مركز دريكيش,SY100400,,,,,,Dreikish,دريكيش,SY1004,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jneinet Raslan,جنينة رسلان,SY100401,,,,,,Dreikish,دريكيش,SY1004,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hamin,حمين,SY100402,,,,,,Dreikish,دريكيش,SY1004,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Dweir Raslan,دوير رسلان,SY100403,,,,,,Dreikish,دريكيش,SY1004,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sheikh Badr,مركز الشيخ بدر,SY100500,,,,,,Sheikh Badr,الشيخ بدر,SY1005,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Baramanet Elmashayekh,برمانة المشايخ,SY100501,,,,,,Sheikh Badr,الشيخ بدر,SY1005,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Qumseyyeh,قمصية,SY100502,,,,,,Sheikh Badr,الشيخ بدر,SY1005,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Anaza,العنازة,SY100601,,,,,,Qadmous,القدموس,SY1006,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Qadmous,القدموس,SY100602,,,,,,Qadmous,القدموس,SY1006,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hamam Wasil,حمام واصل,SY100603,,,,,,Qadmous,القدموس,SY1006,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tawahin,الطواحين,SY100604,,,,,,Qadmous,القدموس,SY1006,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ar-Raqqa,مركز الرقة,SY110100,,,,,,Ar-Raqqa,مركز الرقة,SY1101,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sabka,السبخة,SY110101,,,,,,Ar-Raqqa,مركز الرقة,SY1101,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Karama,الكرامة,SY110102,,,,,,Ar-Raqqa,مركز الرقة,SY1101,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Maadan,معدان,SY110103,,,,,,Ar-Raqqa,مركز الرقة,SY1101,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tell Abiad,مركز تل أبيض,SY110200,,,,,,Tell Abiad,تل أبيض,SY1102,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Suluk,سلوك,SY110201,,,,,,Tell Abiad,تل أبيض,SY1102,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ein Issa,عين عيسى,SY110202,,,,,,Tell Abiad,تل أبيض,SY1102,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al-Thawrah,مركز الثورة,SY110300,,,,,,Ath-Thawrah,الثورة,SY1103,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Mansura,المنصورة,SY110301,,,,,,Ath-Thawrah,الثورة,SY1103,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jurneyyeh,الجرنية,SY110302,,,,,,Ath-Thawrah,الثورة,SY1103,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Dar'a,مركز درعا,SY120000,Dara,,,,,Dar'a,درعا,SY1200,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Busra Esh-Sham,بصرى الشام,SY120001,,,,,,Dar'a,درعا,SY1200,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Kherbet Ghazala,خربة غزالة,SY120002,,,,,,Dar'a,درعا,SY1200,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ash-Shajara,الشجرة,SY120003,,,,,,Dar'a,درعا,SY1200,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Da'el,داعل,SY120004,Dael,,,,,Dar'a,درعا,SY1200,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Mzeireb,مزيريب,SY120005,,,,,,Dar'a,درعا,SY1200,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jizeh,الجيزة,SY120006,,,,,,Dar'a,درعا,SY1200,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Mseifra,المسيفرة,SY120007,,,,,,Dar'a,درعا,SY1200,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
As-Sanamayn,مركز الصنمين,SY120200,,,,,,As-Sanamayn,الصنمين,SY1202,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Masmiyyeh,المسمية,SY120201,,,,,,As-Sanamayn,الصنمين,SY1202,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ghabagheb,غباغب,SY120202,,,,,,As-Sanamayn,الصنمين,SY1202,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Izra',مركز ازرع,SY120300,Izra,,,,,Izra',ازرع,SY1203,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Jasim,جاسم,SY120301,,,,,,Izra',ازرع,SY1203,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Hrak,الحراك,SY120302,,,,,,Izra',ازرع,SY1203,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Nawa ,نوى,SY120303,,,,,,Izra',ازرع,SY1203,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Sheikh Miskine,الشيخ مسكين,SY120304,,,,,,Izra',ازرع,SY1203,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Tassil,تسيل,SY120305,,,,,,Izra',ازرع,SY1203,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
As-Sweida,مركز السويداء,SY130000,,,,,,As-Sweida,مركز السويداء,SY1300,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Mazra'a,المزرعة,SY130001,Mazraa,,,,,As-Sweida,مركز السويداء,SY1300,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Mashnaf,المشنف,SY130002,,,,,,As-Sweida,مركز السويداء,SY1300,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Salkhad,مركز صلخد,SY130200,,,,,,Salkhad,صلخد,SY1302,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Qarayya,القريا,SY130201,,,,,,Salkhad,صلخد,SY1302,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Gharyeh,الغارية,SY130202,,,,,,Salkhad,صلخد,SY1302,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Thibeen,ذيبين,SY130203,,,,,,Salkhad,صلخد,SY1302,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Milh,ملح,SY130204,,,,,,Salkhad,صلخد,SY1302,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Shahba,مركز شهبا,SY130300,,,,,,Shahba,شهبا,SY1303,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Shaqa,شقا,SY130301,,,,,,Shahba,شهبا,SY1303,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Ariqa,العريقة,SY130302,,,,,,Shahba,شهبا,SY1303,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Little Sura,الصورة الصغيرة,SY130303,,,,,,Shahba,شهبا,SY1303,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Quneitra,مركز القنيطرة,SY140000,,,,,,Quneitra,مركز القنيطرة,SY1400,Quneitra,القنيطرة,SY14,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Khan Arnaba,خان أرنبة,SY140001,,,,,,Quneitra,مركز القنيطرة,SY1400,Quneitra,القنيطرة,SY14,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Al-Khashniyyeh,الخشنية,SY140002,,,,,,Quneitra,مركز القنيطرة,SY1400,Quneitra,القنيطرة,SY14,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
Masaada,مسعدة,SY140003,,,,,,Quneitra,مركز القنيطرة,SY1400,Quneitra,القنيطرة,SY14,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
