qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,lao-Laoo-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,lao-Laoo-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,lao-Laoo-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:418:2:1010,1010,1603:45:16:418:0,1603:45:16:418:1:10,1603:45:16:418:2:1010,Hinherb,ມ. ຫີນເຫີບ,LA1010,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1013,1013,1603:45:16:418:0,1603:45:16:418:1:10,1603:45:16:418:2:1013,Meun,ມ. ໜື່ນ,LA1013,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1101,1101,1603:45:16:418:0,1603:45:16:418:1:11,1603:45:16:418:2:1101,Pakxane,ມ. ປາກຊັນ,LA1101,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1102,1102,1603:45:16:418:0,1603:45:16:418:1:11,1603:45:16:418:2:1102,Thaphabath,ມ. ທ່າພະບາດ,LA1102,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1103,1103,1603:45:16:418:0,1603:45:16:418:1:11,1603:45:16:418:2:1103,Pakkading,ມ. ປາກກະດິງ,LA1103,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1104,1104,1603:45:16:418:0,1603:45:16:418:1:11,1603:45:16:418:2:1104,Bolikhanh,ມ. ບໍລິຄັນ,LA1104,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1105,1105,1603:45:16:418:0,1603:45:16:418:1:11,1603:45:16:418:2:1105,Khamkeuth,ມ. ຄຳເກີດ,LA1105,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1106,1106,1603:45:16:418:0,1603:45:16:418:1:11,1603:45:16:418:2:1106,Viengthong,ມ. ວຽງທອງ,LA1106,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1107,1107,1603:45:16:418:0,1603:45:16:418:1:11,1603:45:16:418:2:1107,Xaychamphone,ມ. ໄຊຈຳພອນ,LA1107,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1201,1201,1603:45:16:418:0,1603:45:16:418:1:12,1603:45:16:418:2:1201,Thakhek,ມ. ທ່າແຂກ,LA1201,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1202,1202,1603:45:16:418:0,1603:45:16:418:1:12,1603:45:16:418:2:1202,Mahaxay,ມ. ມະຫາໄຊ,LA1202,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1203,1203,1603:45:16:418:0,1603:45:16:418:1:12,1603:45:16:418:2:1203,Nongbok,ມ. ໝອງບົກ,LA1203,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1204,1204,1603:45:16:418:0,1603:45:16:418:1:12,1603:45:16:418:2:1204,Hinboon,ມ. ຫີນບູນ,LA1204,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1205,1205,1603:45:16:418:0,1603:45:16:418:1:12,1603:45:16:418:2:1205,Nhommalath,ມ. ຍົມມະລາດ,LA1205,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1206,1206,1603:45:16:418:0,1603:45:16:418:1:12,1603:45:16:418:2:1206,Bualapha,ມ. ບົວລະພາ,LA1206,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1207,1207,1603:45:16:418:0,1603:45:16:418:1:12,1603:45:16:418:2:1207,Nakay,ມ. ນາກາຍ,LA1207,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1208,1208,1603:45:16:418:0,1603:45:16:418:1:12,1603:45:16:418:2:1208,Xebangfay,ມ. ເຊບັ້ງໄຟ,LA1208,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1209,1209,1603:45:16:418:0,1603:45:16:418:1:12,1603:45:16:418:2:1209,Xaybuathong,ມ. ໄຊບົວທອງ,LA1209,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1210,1210,1603:45:16:418:0,1603:45:16:418:1:12,1603:45:16:418:2:1210,Khounkham,ມ. ຄຼນຄຳ,LA1210,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1301,1301,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1301,Kaysone Phomvihane,ມ. ໄກສອນພົມວິຫານ,LA1301,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1302,1302,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1302,Outhoomphone,ມ. ອຸທຸມພອນ,LA1302,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1303,1303,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1303,Atsaphangthong,ມ. ອາດສະພັງທອງ,LA1303,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1304,1304,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1304,Phine,ມ. ພິນ,LA1304,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1305,1305,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1305,Sepone,ມ. ເຊໂປນ,LA1305,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1306,1306,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1306,Nong,ມ. ໜອງ,LA1306,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1307,1307,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1307,Thapangthong,ມ. ທາພັງທອງ,LA1307,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1308,1308,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1308,Songkhone,ມ. ສອງຄອນ,LA1308,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1309,1309,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1309,Champhone,ມ. ຈຳພອນ,LA1309,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1310,1310,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1310,Xonbuly,ມ. ຊົນບູລີ,LA1310,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1311,1311,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1311,Xaybuly,ມ. ໄຊບູລີ,LA1311,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1312,1312,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1312,Vilabuly,ມ. ວິລະບູລີ,LA1312,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1313,1313,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1313,Atsaphone,ມ. ອາດສະພອນ,LA1313,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1314,1314,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1314,Xayphoothong,ມ. ໄຊພູທອງ,LA1314,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1315,1315,1603:45:16:418:0,1603:45:16:418:1:13,1603:45:16:418:2:1315,Phalanxay,ມ. ພະລານໄຊ,LA1315,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1401,1401,1603:45:16:418:0,1603:45:16:418:1:14,1603:45:16:418:2:1401,Saravane,ມ. ສາລະວັນ,LA1401,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1402,1402,1603:45:16:418:0,1603:45:16:418:1:14,1603:45:16:418:2:1402,Ta Oi,ມ. ຕະໂອ່ຍ,LA1402,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1403,1403,1603:45:16:418:0,1603:45:16:418:1:14,1603:45:16:418:2:1403,Toomlarn,ມ. ຕຸ້ມລານ,LA1403,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1404,1404,1603:45:16:418:0,1603:45:16:418:1:14,1603:45:16:418:2:1404,Lakhonepheng,ມ. ລະຄອນເພງ,LA1404,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1405,1405,1603:45:16:418:0,1603:45:16:418:1:14,1603:45:16:418:2:1405,Vapy,ມ. ວາປີ,LA1405,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1406,1406,1603:45:16:418:0,1603:45:16:418:1:14,1603:45:16:418:2:1406,Khongxedone,ມ. ໂຄງເຊໂດນ,LA1406,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1407,1407,1603:45:16:418:0,1603:45:16:418:1:14,1603:45:16:418:2:1407,Lao Ngarm,ມ. ເລົ່າງາມ,LA1407,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1408,1408,1603:45:16:418:0,1603:45:16:418:1:14,1603:45:16:418:2:1408,Samuoi,ມ. ສະໝ້ວຍ,LA1408,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1501,1501,1603:45:16:418:0,1603:45:16:418:1:15,1603:45:16:418:2:1501,Lamarm,ມ. ລະມາມ,LA1501,Sekong,ເຊກອງ,LA15,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1502,1502,1603:45:16:418:0,1603:45:16:418:1:15,1603:45:16:418:2:1502,Kaleum,ມ. ກະເລິມ,LA1502,Sekong,ເຊກອງ,LA15,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1503,1503,1603:45:16:418:0,1603:45:16:418:1:15,1603:45:16:418:2:1503,Dakcheung,ມ. ດັກຈຶງ,LA1503,Sekong,ເຊກອງ,LA15,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1504,1504,1603:45:16:418:0,1603:45:16:418:1:15,1603:45:16:418:2:1504,Thateng,ມ. ທ່າແຕງ,LA1504,Sekong,ເຊກອງ,LA15,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1601,1601,1603:45:16:418:0,1603:45:16:418:1:16,1603:45:16:418:2:1601,Pakse,ມ. ປາກເຊ,LA1601,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1602,1602,1603:45:16:418:0,1603:45:16:418:1:16,1603:45:16:418:2:1602,Sanasomboon,ມ. ຊະນະສົມບູນ,LA1602,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1603,1603,1603:45:16:418:0,1603:45:16:418:1:16,1603:45:16:418:2:1603,Bachiangchaleunsook,ມ. ບາຈຽງຈະເລີນສຸກ,LA1603,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1604,1604,1603:45:16:418:0,1603:45:16:418:1:16,1603:45:16:418:2:1604,Paksxong,ມ. ປາກຊ່ອງ,LA1604,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1605,1605,1603:45:16:418:0,1603:45:16:418:1:16,1603:45:16:418:2:1605,Pathoomphone,ມ. ປະທຸມພອນ,LA1605,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1606,1606,1603:45:16:418:0,1603:45:16:418:1:16,1603:45:16:418:2:1606,Phonthong,ມ. ໂພນທອງ,LA1606,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1607,1607,1603:45:16:418:0,1603:45:16:418:1:16,1603:45:16:418:2:1607,Champasack,ມ. ຈຳປາສັກ,LA1607,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1608,1608,1603:45:16:418:0,1603:45:16:418:1:16,1603:45:16:418:2:1608,Sukhuma,ມ. ສຸຂຸມາ,LA1608,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1609,1609,1603:45:16:418:0,1603:45:16:418:1:16,1603:45:16:418:2:1609,Moonlapamok,ມ. ມູນລະປະໂມກ,LA1609,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1610,1610,1603:45:16:418:0,1603:45:16:418:1:16,1603:45:16:418:2:1610,Khong,ມ. ໂຂງ,LA1610,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1701,1701,1603:45:16:418:0,1603:45:16:418:1:17,1603:45:16:418:2:1701,Xaysetha,ມ. ໄຊເສດຖາ,LA1701,Attapeu,ອັດຕະປື,LA17,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1702,1702,1603:45:16:418:0,1603:45:16:418:1:17,1603:45:16:418:2:1702,Samakkhixay,ມ. ສາມັກຄີໄຊ,LA1702,Attapeu,ອັດຕະປື,LA17,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1703,1703,1603:45:16:418:0,1603:45:16:418:1:17,1603:45:16:418:2:1703,Sanamxay,ມ. ສະໜາມໄຊ,LA1703,Attapeu,ອັດຕະປື,LA17,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1704,1704,1603:45:16:418:0,1603:45:16:418:1:17,1603:45:16:418:2:1704,Sanxay,ມ. ຊານໄຊ,LA1704,Attapeu,ອັດຕະປື,LA17,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1705,1705,1603:45:16:418:0,1603:45:16:418:1:17,1603:45:16:418:2:1705,Phouvong,ມ. ພູວົງ,LA1705,Attapeu,ອັດຕະປື,LA17,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1801,1801,1603:45:16:418:0,1603:45:16:418:1:18,1603:45:16:418:2:1801,Anouvong,ມ. ອະນຸວົງ,LA1801,Xaisomboon,ໄຊສົມບູນ,LA18,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1802,1802,1603:45:16:418:0,1603:45:16:418:1:18,1603:45:16:418:2:1802,Thathom,ມ. ທາໂທມ,LA1802,Xaisomboon,ໄຊສົມບູນ,LA18,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1803,1803,1603:45:16:418:0,1603:45:16:418:1:18,1603:45:16:418:2:1803,Longsane,ມ. ລ້ອງຊານ,LA1803,Xaisomboon,ໄຊສົມບູນ,LA18,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1804,1804,1603:45:16:418:0,1603:45:16:418:1:18,1603:45:16:418:2:1804,Home,ມ. ຮົ່ມ,LA1804,Xaisomboon,ໄຊສົມບູນ,LA18,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:2:1805,1805,1603:45:16:418:0,1603:45:16:418:1:18,1603:45:16:418:2:1805,Longcheng,ມ. ລ້ອງແຈ້ງ,LA1805,Xaisomboon,ໄຊສົມບູນ,LA18,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
